objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237655473975854125,0,0,260.65143867264,26.2804324340526,21.9547,20.99972,20.856,20.76845,20.7233,0.1418764,0.02981779,0.03337813,0.0425349,0.1424456,-0.05,5820,0.588
1237655473976247017,-14.72653,-5.961428,261.286385411751,25.5620300620446,20.83392,19.44396,18.84832,18.64704,18.52695,0.05857991,0.01159912,0.009394743,0.01056682,0.02525276,-2.09,6537,0.18
1237651251525386403,-0.8438317,0.06498422,261.840750234124,26.8777576521547,18.68619,17.05397,16.34448,16.04922,15.87907,0.01576313,0.004858623,0.004412626,0.004501221,0.006990933,-1.71,4576,0.953
1237651252061667423,-2.146966,2.705347,261.378285388012,28.1615988917776,23.09262,20.81144,19.45918,19.58808,17.59315,0.36136,0.02583391,0.01337662,0.04019821,0.01493755,0.14,5807,0.605
1237655129847758916,-6.36013,8.933782,260.948694748801,27.5912047327802,17.36418,16.30116,15.87822,15.71978,15.67797,0.00892097,0.004078435,0.004012682,0.004190804,0.006358492,-0.54,5720,0.564
1237655129847759366,1.307401,7.697284,260.942254271657,27.5605794895099,19.43728,18.41485,17.9774,17.80107,17.76149,0.02587302,0.006890028,0.006595983,0.007140816,0.01839648,-1,6000,0
1237655129847890460,-3.827791,0.4586391,261.200245267519,27.3755021548034,19.7144,18.27675,17.74554,17.54015,17.468,0.02998455,0.006521812,0.006026382,0.006467707,0.01499526,-0.04,5426,0.717
1237655129848415302,-9.348674,-17.00633,261.901020917237,26.2152751926811,21.99192,20.48946,19.90822,19.62908,19.48923,0.1481596,0.02119409,0.01917272,0.0205324,0.06833826,-0.71,5285,0.692
1237655473438785784,5.034335,9.295056,260.139799729982,26.5660828719752,17.38068,16.36529,15.99295,15.84969,15.80467,0.009052921,0.003944507,0.004398605,0.004446965,0.006569014,-1.5,6000,0
1237655473438785785,-1.72367,0.9763233,260.148882003447,26.5715806229923,20.07125,18.7261,18.22384,17.98396,17.89132,0.03729775,0.007794723,0.007273726,0.007451126,0.0189251,-0.45,5630,0.6
1237655473438785921,-0.03500301,7.157999,260.179016453665,26.5436340482834,17.38501,16.06827,15.48839,15.25067,15.10747,0.009062422,0.003900253,0.004311006,0.004232917,0.005257039,-1.42,5152,0.661
1237655501890912881,-6.572762,2.458741,259.977211037975,27.2685324547689,20.31535,18.83155,18.27326,18.08737,18.01188,0.04240194,0.008615589,0.007353812,0.008015067,0.02031105,-0.21,5239,0.749
1237655501890977854,-9.102969,-7.917917,259.906208403059,27.2024975538882,22.04157,20.10934,19.20623,18.8719,18.68097,0.1588594,0.01829591,0.01172507,0.01227768,0.03364724,-2.09,6537,0.18
1237655501890977892,-5.430145,1.638481,259.963383636999,27.2199652649366,18.97246,17.26831,16.53334,16.21368,16.03135,0.01887835,0.004608859,0.004382038,0.004378031,0.006527727,-1.71,4576,0.953
1237655503501787202,4.221173,1.909857,261.397489981416,27.4007886872244,19.20697,18.3394,18.01174,17.8654,17.80162,0.02320948,0.006583412,0.00667482,0.007222455,0.01906655,-2.5,6000,0
1237655503501787210,-4.48546,4.506989,261.411575694162,27.4038699254939,16.40627,16.56483,17.05421,17.38608,17.68025,0.006087356,0.003800846,0.004997382,0.005908914,0.01755607,-0.06,9640,-0.021
1237651249914642726,0,0,260.432658158438,26.4782039595335,20.11947,17.53565,16.39993,16.01601,15.81379,0.03891398,0.005386359,0.004378277,0.004262702,0.005981052,0.07,4528,1.038
1237651249914773624,-7.574142,6.624194,260.589281060123,26.3179853857391,22.76724,20.33564,19.36601,18.97735,18.76799,0.2570857,0.01887336,0.01293356,0.01311006,0.03378119,-2.09,6537,0.18
1237651249914773636,0,0,260.579310387807,26.2979396347582,18.23991,17.24685,16.93193,16.81273,16.77167,0.01184301,0.00493254,0.004815001,0.004960632,0.009224048,-1.5,6000,0
1237651249914773734,-9.90321,-4.89548,260.509331440405,26.2025231141045,20.827,19.94517,19.70674,19.58404,19.4828,0.05508893,0.01485851,0.01629366,0.02014044,0.06224368,-2.5,6500,0
1237651249914773753,-2.988117,-4.48311,260.481809887845,26.1688141636706,20.45656,18.92825,18.32871,18.09238,18.01676,0.04329639,0.008650852,0.007486525,0.008029412,0.02008973,-0.71,5285,0.692
1237651249914774262,-22.21891,6.023952,260.589814671407,26.1520805550126,20.96931,19.90647,19.304,19.23861,19.04501,0.0603621,0.01462767,0.01260761,0.01553787,0.04255764,-2.09,6537,0.18
1237651249914970517,-3.488844,0.7147735,260.884381849892,25.8072139340044,18.01981,16.34242,15.63478,15.32526,15.17147,0.01058652,0.003863218,0.004006482,0.00441485,0.004689584,-1.71,4576,0.953
1237651250988384809,0,0,261.310094892669,26.8480147828921,17.94011,16.81588,16.42843,16.27089,16.25252,0.01083987,0.00483094,0.004733941,0.004689262,0.007838391,-0.94,5613,0.712
1237651250988450439,-0.966186,-0.3968084,261.316794412377,26.7571946401827,21.32498,19.92496,19.36295,19.14067,19.11123,0.08137496,0.01424515,0.0124567,0.01412425,0.04225136,-0.71,5285,0.692
1237651250988581249,-11.57263,0.4992523,261.556094732195,26.4548064813814,18.98238,18.00193,17.67655,17.58147,17.53147,0.01769059,0.00576708,0.005820888,0.00651464,0.01414631,-2,6000,0
1237651250988646482,-12.47774,2.781405,261.501159400801,26.3983122950863,18.40928,16.84983,16.28359,16.09375,15.9963,0.01327281,0.0042115,0.004304778,0.004751821,0.007135732,-0.24,5221,0.786
1237651250988646947,0,0,261.447442767857,26.3433236867595,22.6567,21.28192,20.96775,21.0149,20.7356,0.2076177,0.03781136,0.03923085,0.05462584,0.1663962,-0.45,3700,1.756
1237651250988712132,-0.4314191,-1.373785,261.567213458643,26.1957225785009,18.77497,17.8814,18.12382,18.3427,18.4511,0.01583145,0.005629776,0.006896013,0.009003895,0.02756056,-0.06,9640,-0.021
1237651250988712313,-2.629134,2.356232,261.572007171373,26.142181104618,17.87562,16.25455,15.65625,15.43233,15.3626,0.01036578,0.003950099,0.00426988,0.00483851,0.00548462,-0.46,5097,0.768
1237651250988908775,-7.468018,3.540928,261.802439536388,25.8024553666966,18.86288,17.70919,17.4986,17.42999,17.4618,0.01695453,0.005303406,0.006013309,0.00646266,0.01424307,-0.5,7000,0
1237651252061667705,-4.672698,10.7811,261.562715947819,28.1543163966019,16.7626,15.41866,14.98019,14.83434,14.79758,0.006389021,0.003650587,0.003905065,0.004089307,0.0048335,-0.21,5625,0.58
1237651252061667711,1.164003,7.889104,261.536611421483,28.1411850619471,16.6343,15.48212,15.07857,14.91154,14.85985,0.006082464,0.003657943,0.004005264,0.00411317,0.004892693,-1.02,5621,0.536
1237651252061732922,-4.244928,-1.908219,261.591915977728,28.1317806865593,18.69717,17.67492,17.32166,17.19049,17.15359,0.01610655,0.00517113,0.005190863,0.005743047,0.011219,-1,6000,0
