objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237665225700540474,18.77994,11.81365,200.139231509802,30.5896217385632,18.20584,18.18387,18.59105,18.88272,19.15803,0.0137471,0.006554698,0.008862702,0.01262266,0.04558843,-0.01,4395,1.299
1237665225701326913,-10.23347,3.76562,202.291520389544,30.3145672024441,18.09341,17.09908,16.72608,16.56775,16.50446,0.01290604,0.004266035,0.004206234,0.004496288,0.008309744,-1.05,5895,0.446
1237665225701327224,0,0,202.181871495772,30.3022552084952,23.25942,21.55105,21.29945,21.17709,21.01419,0.5110987,0.06232626,0.06348707,0.07854927,0.2328392,-0.29,6163,0.456
1237665226237542429,4.116775,13.73981,200.569760140369,30.9590123319524,18.80423,17.86833,17.57755,17.47331,17.45292,0.01997384,0.005711157,0.005838922,0.006384841,0.01361911,-1.45,5952,0.439
1237665226237542457,-2.81317,-0.1236303,200.617813071216,30.9213665018795,21.93725,20.05207,19.74324,19.59669,19.38751,0.1810552,0.01842946,0.0178754,0.02039134,0.05527646,0.09,9899,-0.199
1237665226237935618,-42.7478,13.26482,201.55487469666,30.9573573572478,17.29768,16.42927,16.14741,16.01937,16.02068,0.009239164,0.003693487,0.003786217,0.004348187,0.006573254,-2,6000,0
1237665226237935934,0,0,201.667134618369,30.9002477862409,21.93275,21.13531,21.10533,21.0745,20.96741,0.191674,0.03976899,0.05355452,0.06876099,0.2223776,-0.07,7134,0.287
1237665226239049840,-14.06558,4.480219,204.601838922907,30.5089950208693,18.69858,17.85471,17.58149,17.44557,17.43342,0.01878514,0.005713384,0.005698075,0.006246119,0.0132095,0.6,3705,1.474
1237665226239049954,-104.9981,51.75821,204.55733396349,30.3934481052274,23.91526,20.40093,18.80439,18.14015,17.72726,0.7573931,0.02242913,0.01031082,0.008538512,0.01565733,-0.36,3962,1.354
1237665226774478859,-0.6866171,6.510506,200.767063673235,31.4589802907969,18.42204,17.52706,17.27314,17.19007,17.18868,0.01618049,0.004919078,0.005213942,0.005704129,0.01244052,0.6,3705,1.474
1237665226775396594,-3.265507,6.150512,203.308019014197,31.0532077766363,21.27989,20.36098,20.14472,20.09374,20.01972,0.104821,0.02221212,0.02392529,0.03119414,0.09825607,0.17,3900,1.363
1237665226775396594,-3.265507,6.150512,203.308019014197,31.0532077766363,21.27989,20.36098,20.14472,20.09374,20.01972,0.104821,0.02221212,0.02392529,0.03119414,0.09825607,0.14,5807,0.605
