objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237666211930309197,-7.476049,-2.643474,272.809417951892,24.5750849181999,20.54942,19.58391,19.09983,18.89587,18.79512,0.06096198,0.01249478,0.01199522,0.01463352,0.04233123,-2,6000,0
1237666228571930882,-1.957147,1.447802,271.857809560679,24.0838402656348,17.99344,16.1837,15.39936,15.10657,14.94763,0.01200216,0.003298727,0.003383219,0.00362746,0.004692378,-0.03,5262,0.759
1237666229108670587,-5.284894,0.2331266,271.739248768561,24.704936737234,20.34067,18.74798,18.12647,17.91316,17.78394,0.05315981,0.008024972,0.006877137,0.007683299,0.01853367,-0.16,5463,0.667
1237666229108670587,-5.284894,0.2331266,271.739248768561,24.704936737234,20.34067,18.74798,18.12647,17.91316,17.78394,0.05315981,0.008024972,0.006877137,0.007683299,0.01853367,-0.16,5463,0.667
1237666209782759917,0,0,271.910395246674,23.0331462465471,17.83243,16.59053,16.37247,16.31034,16.3018,0.01119081,0.003732287,0.003831028,0.004520227,0.00758839,-0.5,7500,0
1237666227498582060,4.314666,4.497302,272.374978522168,22.9672709707935,18.5441,16.97899,16.30375,16.00495,15.85967,0.01705864,0.004107953,0.004079207,0.003972929,0.006516171,-0.4,5467,0.645
1237666227498387140,-9.512396,-0.2902433,272.093795434909,23.2138831678716,19.84814,17.83724,17.05413,16.78234,16.72012,0.03663745,0.005442932,0.00482282,0.005071391,0.009951954,-0.07,5139,0.819
1237666210856568874,0,0,272.449308157454,23.7709963198908,21.77073,21.10673,20.42291,20.15045,20.32929,0.1557199,0.03416867,0.02975286,0.03349556,0.1623462,-0.96,4457,1.15
1237666211393176233,-3.474403,-0.3948711,271.890145336778,24.3972293046168,19.35549,17.77839,17.12563,16.89356,16.77636,0.0251455,0.005308013,0.004529981,0.004999056,0.009529022,-0.46,5097,0.768
1237666211930112992,-0.4248249,0.5650231,272.209997696321,24.6531786180042,21.90236,20.43055,19.81007,19.50019,19.52256,0.1697373,0.02203629,0.01890806,0.02281935,0.07638584,-0.03,5261,0.773
1237666210319630657,-4.495145,2.431176,272.03234865249,23.3892346118608,18.22942,16.81897,16.12219,15.7949,15.6011,0.01381717,0.003908467,0.003586265,0.003992143,0.00591879,-1.64,4738,0.881
1237666209782891169,-3.027153,-0.9026935,272.194939697523,22.8188977432303,18.11688,16.99266,16.67915,16.5623,16.53679,0.01282066,0.004255835,0.004267286,0.004496353,0.008350243,-1,6500,0
1237666210319630619,0,0,272.055388875525,23.4630532514561,18.34015,16.8567,16.27702,16.04521,15.94808,0.01463743,0.003951679,0.003700885,0.004239897,0.006804222,0.07,5820,0.614
1237666210319894669,-9.237323,-2.567562,272.628930835003,23.179627502218,22.02302,20.83099,20.20895,19.91757,19.74037,0.1756816,0.02993545,0.0254695,0.0270853,0.08142916,-0.5,6000,0
1237666227498321240,-5.323878,2.257257,271.836790654157,23.1862018531459,21.94634,19.92331,19.17602,18.90767,18.76446,0.1592945,0.01677941,0.01213145,0.01272143,0.04273889,-0.24,5221,0.786
1237666227498321702,0.7513755,1.18243,271.906119121635,23.1658907615076,19.25892,17.6552,17.01038,16.77203,16.6591,0.0244642,0.005073185,0.004649722,0.005000643,0.009869383,0.17,5761,0.66
1237666210856239600,-3.544505,2.679602,271.648793418506,23.9856751452925,17.62123,17.94147,18.38635,18.66649,19.01022,0.0106054,0.005481311,0.007979897,0.01123304,0.05064328,-1.62,6890,0.063
1237666228035323496,-11.98884,-4.772986,272.362777554244,23.4005146911562,20.45228,18.74086,18.08063,17.80958,17.65581,0.06329908,0.008044288,0.00683949,0.007157634,0.01889299,-0.24,5221,0.786
1237666210856698698,-1.464552,-1.270324,272.633628479905,23.7097912339825,20.09119,18.69715,18.09497,17.88097,17.7475,0.04339126,0.00762646,0.006865714,0.007315869,0.01910877,-0.32,5651,0.564
1237666211393634632,0,0,272.926395985249,23.877931140267,18.72486,17.21449,16.56573,16.3171,16.12792,0.01833257,0.004624557,0.004074444,0.004363941,0.007055529,-0.67,5474,0.603
1237666211930374333,205.8375,-4.508276,272.794108464283,24.386941158316,17.79939,17.36424,17.31535,17.34231,17.4767,0.01129997,0.004574489,0.004882271,0.005857287,0.01546568,-2.5,7500,0
1237666226961645634,-12.42619,5.666966,272.087627305039,22.7177893056652,18.3602,17.24617,16.96202,16.85987,16.848,0.01580001,0.004395226,0.004705325,0.005240351,0.01009788,-0.5,7000,0
1237666228572324867,-6.917394,-4.236366,272.762868470908,23.7942252745584,19.2852,18.03818,17.73154,17.60026,17.59062,0.02548857,0.005947244,0.005822653,0.006786579,0.01580311,-0.5,7000,0
1237666229108736392,-5.645243,2.66896,271.943040300809,24.6102453129559,17.4808,16.09461,15.52424,15.30455,15.2041,0.009814106,0.003359151,0.003288778,0.003380302,0.004940334,-0.21,5792,0.554
1237666210319827191,22.27301,3.967543,272.485325577547,23.2556433241538,18.9448,17.91078,17.49962,17.32549,17.24911,0.02043108,0.005612027,0.00532865,0.005744429,0.01313778,-2.5,6500,0
1237666210319827334,-14.17581,-12.49997,272.522034017919,23.2562440397551,22.64281,21.13237,20.45878,20.32435,20.2741,0.2966173,0.03700722,0.03062352,0.03857169,0.126087,-0.43,5375,0.635
1237666227498451393,0,0,272.156806322069,23.1083395373379,21.97273,20.65079,20.09019,19.85053,19.8221,0.1996901,0.02842943,0.0220216,0.02424769,0.09984639,0.08,5993,0.548
1237666210856568075,0.104331,2.03578,272.362328625535,23.6795715052447,22.45097,20.39872,19.74095,19.48459,19.42689,0.2685375,0.02042513,0.01773125,0.01947951,0.07185381,-0.76,5320,0.704
1237666210856568555,-6.446435,-1.075357,272.421380149952,23.6391923981156,19.20645,17.81515,17.16869,16.90994,16.79425,0.02475705,0.005289108,0.00480396,0.004938723,0.01074071,-0.42,5748,0.568
1237666210856633706,-0.279177,3.565398,272.586264585699,23.7484270634943,21.46305,20.12424,19.49166,19.31655,19.17925,0.1175804,0.01681473,0.0150323,0.01790428,0.05919753,-0.42,5762,0.557
1237666211393111859,-1.763289,4.898801,271.757650432721,24.4430503321288,22.24757,20.36163,19.68507,19.38078,19.2013,0.2093814,0.02178473,0.01798152,0.01967465,0.05199392,-0.16,5059,0.811
1237666229108868772,10.42958,2.49122,272.200252592878,24.526652022054,21.58441,20.71754,20.356,20.32824,20.1525,0.1346414,0.03111667,0.02865373,0.04133417,0.1229144,-1,6500,0
