objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237667441899339848,-6.599849,-8.251521,190.082420108276,26.3741304858472,19.6378,18.80462,18.60995,18.45709,18.43852,0.03088042,0.008924015,0.008892303,0.01082539,0.0311012,0.17,3900,1.363
1237667447270015396,0,0,193.222268937729,24.7165085054701,22.60574,21.57273,21.64227,21.87661,21.68522,0.2336064,0.04707747,0.06904494,0.1280641,0.4030625,0.25,5063,0.895
1237667448344084559,-34.90667,10.39441,194.189475972183,25.3782479236806,19.03551,18.86148,19.17829,19.01958,18.66429,0.02004991,0.008747704,0.01193627,0.01448849,0.03208083,-2.32,4949,0.647
1237667444584349785,4.599536,0.3259437,191.852256486811,28.5803301986318,21.34495,20.13509,19.6197,19.45937,19.4772,0.1151145,0.0179044,0.01615294,0.02082712,0.06968718,-0.76,5320,0.704
1237667448879841857,0,0,191.383131541804,26.0996504069362,22.68042,21.78409,21.93453,22.04527,22.799,0.3002041,0.056101,0.09662932,0.1787095,0.7288408,-2.32,4949,0.647
1237667448343363597,2.950156,-5.876446,192.295631175272,25.5979774534106,17.72611,16.62014,16.59763,16.63655,16.71069,0.01036445,0.004304659,0.004708441,0.005462928,0.009211101,-1,7500,0
1237667322722058407,9.779405,4.98898,189.941554448584,27.1928471852892,21.68509,19.43511,17.98664,17.07344,16.59245,0.1312071,0.01130291,0.006545929,0.005362215,0.008947357,0.6,3705,1.474
1237667448344084559,-34.90667,10.39441,194.189475972183,25.3782479236806,19.03551,18.86148,19.17829,19.01958,18.66429,0.02004991,0.008747704,0.01193627,0.01448849,0.03208083,-2.5,9000,0
1237667447270015396,0,0,193.222268937729,24.7165085054701,22.60574,21.57273,21.64227,21.87661,21.68522,0.2336064,0.04707747,0.06904494,0.1280641,0.4030625,0.25,5063,0.895
1237667442974589265,0,0,193.926656161706,27.018251000029,23.32235,21.92358,22.26956,22.23645,21.74103,0.4227545,0.06255394,0.1233806,0.1747654,0.4163942,-0.27,4066,1.381
1237667442974523458,-10.42321,7.157413,193.862297561802,27.142144105624,18.09177,17.17326,16.87111,16.76302,16.72413,0.01332032,0.004739681,0.004945748,0.00551285,0.009900141,0.6,3705,1.474
1237667441900781754,-0.3108401,2.143651,193.823858786637,26.2217347038421,20.82343,19.99721,19.79466,19.6844,19.79684,0.06345155,0.01696045,0.01759627,0.02257893,0.08702588,0.6,3705,1.474
1237667441900781754,-0.3108401,2.143651,193.823858786637,26.2217347038421,20.82343,19.99721,19.79466,19.6844,19.79684,0.06345155,0.01696045,0.01759627,0.02257893,0.08702588,0.6,3705,1.474
1237667444584808614,-0.6017774,11.98031,193.116701583818,28.42547733637,19.96283,19.14943,18.91553,18.8367,18.83391,0.04132344,0.009834958,0.01048354,0.01325434,0.03915874,0.17,3900,1.363
1237667441901109336,-3.638655,-5.625776,194.527465330146,26.1917487062544,20.38261,19.5521,19.31803,19.21045,19.2232,0.04776299,0.01308984,0.01286708,0.01585823,0.05651835,0.6,3705,1.474
1237667448343166992,-10.20423,-5.121821,191.775177287343,25.6349366897614,17.80461,16.72264,16.7486,16.80065,16.86225,0.01083195,0.004527006,0.005127335,0.005626537,0.009934194,-1,7500,0
1237667448343166992,-10.20423,-5.121821,191.775177287343,25.6349366897614,17.80461,16.72264,16.7486,16.80065,16.86225,0.01083195,0.004527006,0.005127335,0.005626537,0.009934194,-1,7500,0
1237667444047479012,0,0,191.935393869196,28.0510778531486,21.78161,20.55178,20.36439,20.19729,20.06292,0.1384358,0.02483304,0.02808992,0.03739247,0.1074335,0.6,3705,1.474
1237667442973343791,5.479673,2.59537,190.880772871951,27.1858809851579,17.57075,16.73284,16.49355,16.39282,16.39855,0.01044258,0.004169371,0.004331673,0.004900518,0.008555149,-2.5,6500,0
1237667442972885164,0,0,189.644499609581,27.306213668955,23.47026,21.03139,19.45367,17.58597,16.5542,0.5747584,0.03301347,0.01484034,0.006769995,0.009294385,-0.2,3717,1.502
1237667322185777393,-7.072835,-11.29366,191.402017438652,26.6900611132629,21.5829,21.1213,21.27035,21.21171,21.09153,0.1244773,0.04182434,0.06775816,0.09399696,0.2823032,-2.32,4949,0.647
1237667252944961550,-0.8322623,6.1197,192.4795638846,28.7633453063163,19.42051,18.36726,17.99843,17.87632,17.82695,0.02421697,0.006916269,0.00679933,0.007389585,0.01883839,-1,6000,0
1237667252944896039,5.761033,23.72812,192.393149008357,28.7492098958389,17.43084,16.28489,15.88177,15.74866,15.68405,0.008776473,0.003650137,0.004234315,0.004305178,0.005553666,-0.6,5659,0.561
1237665440440713418,19.56853,-8.124125,191.298360934855,28.7248565633206,19.41448,18.36078,17.8863,17.70747,17.63422,0.02921056,0.007214287,0.006414083,0.007177799,0.01803231,-1.7,5405,0.621
