objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237666209787352065,6.482097,-4.43955,282.203475476263,18.827280537595,21.87994,20.21497,19.25306,18.73001,18.41602,0.1892123,0.02100028,0.01425038,0.01273876,0.02901425,-0.61,5132,0.764
1237666209787413293,0,0,282.310582068012,18.7954576850361,18.60888,16.54159,15.6364,15.33025,15.03958,0.01749424,0.003779873,0.003387595,0.003765348,0.004763953,-0.1,5074,0.841
1237666209787416747,3.33296,6.696826,282.32782927644,18.8064571907735,21.96022,19.90527,19.00618,18.60561,18.34157,0.1965675,0.01695808,0.01192071,0.01160352,0.02691871,-0.61,5132,0.764
1237666209787481716,-0.6069317,-1.193379,282.39285848169,18.7188754293303,19.21103,17.6293,17.40455,17.31309,17.20346,0.02527759,0.005086292,0.005197385,0.005859905,0.01258273,-0.15,7118,0.298
1237666209787482382,-0.1189326,4.345603,282.44544073926,18.7041734678365,19.14294,17.3393,16.37719,15.9267,15.60784,0.02416244,0.004578958,0.003864196,0.003871608,0.005626992,-1.64,4738,0.881
1237666209787483054,1.311382,2.981453,282.532026311418,18.7055547899201,21.33307,19.41909,18.49705,18.13456,17.93645,0.1179274,0.01248388,0.008666601,0.008719739,0.02032093,0.17,5761,0.66
1237666227502778705,0,0,281.893853550663,19.1217380803897,21.88649,20.30707,19.35122,18.95524,18.7079,0.1730497,0.02171332,0.01368891,0.01322541,0.03532318,-0.07,5139,0.819
1237666227502911791,-3.135683,9.931698,282.167914745108,19.0939324747273,22.08732,20.12284,19.28214,18.90327,18.61193,0.1946598,0.0190917,0.01313062,0.01275726,0.03338256,0.17,5761,0.66
1237666227502913273,1.283967,-1.701305,282.177646721186,19.0774338528223,22.23218,20.41772,19.40175,19.0445,18.68823,0.221797,0.02310712,0.01410198,0.01373885,0.03520511,-0.07,5139,0.819
1237666227502976505,0,0,282.33142741788,18.8738322384357,22.90694,21.81457,20.12427,19.70504,19.93895,0.3889897,0.07139142,0.02321966,0.02135859,0.1011065,-0.42,5748,0.568
1237666227503039276,3.501848,1.99265,282.406500489205,18.937834554092,20.64777,18.40511,17.4512,17.11767,16.88746,0.06461269,0.007072023,0.005403011,0.005556724,0.01092184,0.34,5294,0.864
1237666227503040486,-6.325607,-2.16122,282.455376424071,18.9264215978291,18.42356,16.35568,15.45345,15.09231,14.8682,0.01590706,0.003636217,0.003492442,0.003828688,0.004711964,-0.05,5190,0.825
1237666227503042502,0,0,282.444572213501,18.9277473653184,22.5435,20.43464,19.45505,19.11301,18.89435,0.2909627,0.02333657,0.01483873,0.01452943,0.04209356,-0.61,5132,0.764
1237666227503108108,2.363876,7.063284,282.508283204643,18.8153906851018,19.74872,18.10932,17.38122,17.04829,16.86947,0.03533902,0.006209678,0.005237782,0.00545406,0.01087902,-0.15,6155,0.499
1237666227503108556,1.719693,-0.2200238,282.533372299497,18.7887949598609,20.3189,18.24953,17.34563,16.98116,16.77194,0.05196198,0.006617108,0.005160686,0.005284173,0.0102631,-0.05,5190,0.825
1237666228039910293,55.15956,27.11068,282.575375176835,19.2100347208159,22.25694,20.33376,19.29756,18.8561,18.58725,0.2365329,0.02173957,0.01363848,0.01260806,0.0361549,-0.61,5132,0.764
1237672154011734130,22.44671,-5.438322,282.156301927015,19.0241162836158,20.6897,19.28057,18.53259,18.21477,18.11979,0.08863991,0.01207665,0.009064279,0.009422699,0.02332824,-1.22,5203,0.87
1237672154011861707,6.458967,12.40899,282.404273596775,19.1667782946367,18.35777,16.78898,16.55408,16.5151,16.41953,0.01744968,0.003909141,0.004212474,0.004517579,0.00827543,-2.5,7500,0
1237672154011863744,6.797385,4.338499,282.374141629583,19.1267771102567,20.66491,18.8727,18.00786,17.58792,17.40756,0.08098961,0.009648575,0.006981331,0.007048719,0.01479105,-0.94,5613,0.712
1237672154011864270,-11.0217,8.834433,282.480014345011,19.0745998937579,21.09967,19.88981,19.14924,18.87475,18.74728,0.109969,0.01794423,0.01311871,0.01480082,0.03896898,-2.5,6000,0
1237672154011864343,6.137554,3.466578,282.479039782131,19.0845395010822,19.53832,17.99934,17.59609,17.49869,17.43241,0.03510112,0.006143992,0.005881332,0.006662281,0.01488703,-1,7500,0
1237666210324218137,4.384453,-0.08994263,282.288353771903,19.2152129726576,20.66479,19.02629,18.71095,18.55762,18.39771,0.06729752,0.009575402,0.009446922,0.01119333,0.03014017,-2,7500,0
1237666210860958489,3.351946,6.197538,282.23839954528,19.7266121380983,20.0652,18.46855,17.68023,17.35854,17.1539,0.04633651,0.007092271,0.005754153,0.005880018,0.01390776,-1.22,5203,0.87
