objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237659154220450071,-2.636792,1.61581,251.162112777383,30.3457400854302,21.42515,19.97741,19.54928,19.35901,19.30902,0.1061448,0.01534583,0.01508381,0.01852683,0.07221738,0.09,9899,-0.199
1237659161206784300,-1.144636,-1.675673,251.231778216006,30.4613998761975,19.88375,18.16333,17.47736,17.19842,17.09867,0.03126408,0.006455357,0.005783096,0.005914659,0.01123196,-0.16,5059,0.811
1237659161206980737,-10.49391,39.32436,251.500274801551,30.0927001694085,17.66038,16.4509,15.94685,15.73937,15.65848,0.009764838,0.00430958,0.004352042,0.004441295,0.005826339,-0.76,5320,0.704
1237659161207046174,0,0,251.614893700093,30.0451746858349,24.63466,21.46545,21.5633,21.50814,21.20874,0.8512247,0.05229117,0.08153111,0.1249053,0.3427386,0.09,9899,-0.199
1237659161743459394,-201.6443,-15.5547,251.215616054751,31.0646584177086,24.30573,23.16044,20.90966,19.45981,18.70172,0.699537,0.1545365,0.03550699,0.01748959,0.0312143,-0.04,3980,1.491
1237661386009870479,0,0,251.499428529036,30.6889243711379,18.19159,17.2903,17.036,16.93915,16.92318,0.01212922,0.004960117,0.005074452,0.005317062,0.01044005,0.6,3705,1.474
1237661386009935883,-4.464144,0.111872,251.498005850283,30.6618561924413,18.21636,16.77442,16.18967,15.95129,15.84923,0.01227645,0.004461545,0.004429387,0.004322268,0.0061581,-0.76,5320,0.704
1237661386546479249,-3.960813,6.444127,251.247125185477,31.3423076963597,18.85168,17.71708,17.75914,17.81324,17.89745,0.01808316,0.005525078,0.006192982,0.00746331,0.01845932,-2.5,7500,0
1237661386546544695,-5.774592,-2.583486,251.455749960113,31.3704026178739,17.83698,16.67612,16.32502,16.19989,16.1876,0.01068947,0.004404429,0.004484054,0.004955322,0.007210429,-0.65,5790,0.486
1237661386546676153,6.96471,25.97753,251.633623450746,31.0385466514087,19.51715,18.13019,17.5111,17.25321,17.14141,0.02637501,0.006339639,0.00570655,0.006189557,0.01151767,-1.34,5047,0.754
1237662302985650202,-8.7522,7.546539,249.314444107301,30.6206255810032,19.05528,18.95886,19.28611,19.59092,19.95066,0.02139299,0.009137109,0.0125051,0.0208431,0.08522905,-2.32,4949,0.647
1237662303522456117,1.002917,-1.06068,249.443272754497,30.8998166405246,22.03957,20.26923,19.74448,19.55791,19.48579,0.2096802,0.01962495,0.01684387,0.02036063,0.06081785,-2.09,6537,0.18
1237662499474702351,0,0,250.055543842977,28.4390279212907,23.64052,22.86361,21.02468,19.60393,18.78165,0.9076239,0.2137232,0.06351925,0.02746841,0.049443,-0.2,3717,1.502
1237659119337276128,-0.8556215,7.547425,250.064984709043,30.7112759655442,22.47067,20.81044,20.15001,20.02839,20.10106,0.3795015,0.03648779,0.02999396,0.03757812,0.1547719,-2.09,6537,0.18
1237659119337341564,-49.79653,6.920294,250.066892181798,30.621895707809,23.89982,21.74238,19.97656,19.22272,18.71764,1.100131,0.07901492,0.02563365,0.0204285,0.04911048,-0.06,3858,1.41
1237659119337538172,-19.67673,2.12265,250.492813806134,30.3210347808672,21.46672,21.11549,21.11111,21.17685,21.43864,0.1650731,0.05010675,0.07002008,0.1041972,0.5108277,0.09,9899,-0.199
1237659119873949946,7.312947,-0.3717881,250.058153764377,31.3610298830034,19.71018,17.92516,17.11106,16.81491,16.64745,0.04277954,0.005743227,0.004777687,0.004827733,0.01110782,-0.12,4775,0.95
1237659119874015318,-8.252181,-0.6785039,249.989941207195,31.1463710617773,17.94648,16.79883,16.79526,16.85813,16.93366,0.01404801,0.003823111,0.004221511,0.004873559,0.01306672,-0.5,8500,0
1237659119874080878,-2.98354,-1.554535,250.136208744781,30.9923323886004,18.09247,16.82276,16.30545,16.11528,16.05806,0.01528475,0.003797944,0.003687593,0.003932914,0.007733496,-0.76,5320,0.704
1237659119874080925,-18.3158,-5.738431,250.097976497096,31.0934003400318,20.48326,19.56862,19.16019,19.02577,18.97948,0.07882179,0.01459768,0.01486112,0.01706947,0.06459066,-0.95,5164,0.706
1237659119874080932,-20.34385,-8.784706,250.094986034869,31.0752110544562,20.46625,19.25257,18.81792,18.60968,18.55945,0.07842132,0.01192001,0.01176162,0.0126887,0.04529826,-0.6,5659,0.561
1237659119874146399,-2.961853,-1.018118,250.416412680098,30.9662574444972,19.26937,18.10708,17.60341,17.41237,17.30438,0.03172564,0.006296378,0.005863645,0.006283458,0.0166403,-0.76,5320,0.704
1237659119874211904,-4.311259,2.501409,250.376082263882,30.9061792496817,21.11102,20.02675,19.85265,20.01866,19.79872,0.1318166,0.02001681,0.02382676,0.03875092,0.1294181,0.6,3705,1.474
1237659119874277512,-6.618087,-1.67732,250.54024839325,30.6468604051201,18.40935,16.99475,16.39434,16.1548,16.03305,0.01847784,0.00401232,0.003759654,0.003908499,0.007740765,-0.31,5603,0.606
1237659119874343741,-11.94779,0.7401125,250.717468011576,30.5784062180202,25.96492,21.40188,20.36743,20.07028,19.65077,0.7923677,0.06185623,0.03745983,0.03978597,0.1153427,-0.61,5132,0.764
1237659119874605735,-57.01022,-127.3965,251.128912123545,30.1692443928856,23.4358,22.39034,20.73278,20.07907,20.17591,0.9863318,0.1337279,0.0533861,0.04363943,0.1988406,-0.06,3858,1.41
1237659119874671697,0,0,251.341917942799,30.0685778273041,23.78718,24.21933,22.26192,19.77164,17.96791,1.152169,0.5472621,0.1947805,0.03147729,0.02690853,-0.91,4752,0
1237659152610099674,-8.299548,1.935461,250.697855149305,29.1031185456669,23.18141,21.24422,20.77812,20.83267,20.82412,0.4304396,0.04309914,0.03954397,0.06830005,0.2901793,0.17,3900,1.363
1237659153682858418,-8.679109,108.1822,249.482379059188,31.3342576760258,22.54511,20.419,18.88844,16.78225,15.66393,0.2421044,0.02066718,0.01059619,0.005305214,0.006452266,-0.2,3717,1.502
1237659153683316761,-3.614273,18.29934,250.315190636918,30.5419413949828,20.62327,19.46411,19.02204,18.85168,18.73058,0.05440678,0.01169275,0.01106266,0.01313789,0.04074091,-0.65,5790,0.486
1237659154219794885,23.75602,-16.73078,250.147640019564,31.467530042588,22.08415,21.40607,21.13247,20.92925,20.9317,0.1905419,0.04121131,0.05162855,0.06593723,0.2711354,0.09,9899,-0.199
1237659154219860760,0,0,250.237728545023,31.4230822108547,23.72024,21.74832,21.16337,21.15138,21.50286,0.6846823,0.05534054,0.05382868,0.0849376,0.4738986,0.14,5807,0.605
1237659154219991199,-8.532651,4.523362,250.384110728555,31.100511359343,19.82213,18.76196,18.42187,18.28471,18.24645,0.03481639,0.007988943,0.008232125,0.00948881,0.02884245,-1,6000,0
1237659154219992063,-1.076487,7.387967,250.396723535301,31.1098501546237,23.54593,20.80086,19.75181,19.42956,19.30905,0.5484558,0.02565157,0.01781119,0.01940847,0.06676623,-0.05,5820,0.588
1237659154220056630,-1.985774,1.51045,250.493198088894,31.0509465856156,18.24564,16.58324,15.88604,15.58831,15.42721,0.01430432,0.004075977,0.003968733,0.004396551,0.006156642,-1.44,5073,0.709
1237659154220122575,-7.769194,24.55315,250.663234561144,30.8967675724749,23.5629,20.83838,19.35062,18.58751,18.12217,0.5344169,0.02677268,0.01365416,0.01132558,0.0259166,-0.06,3858,1.41
1237659154220384726,22.43976,18.44313,251.072244337535,30.501381716641,23.32383,20.82101,19.18915,17.33365,16.31232,0.472812,0.02681297,0.0123094,0.006323017,0.008672115,-0.2,3717,1.502
1237659154220450176,0.8862895,1.456759,251.212788608041,30.2908677067678,20.20912,17.88674,16.87555,16.52596,16.31464,0.04487954,0.005586206,0.004959644,0.004885382,0.00867606,0.07,4528,1.038
1237659161206325589,-22.2921,0.806124,250.422261142769,31.196195112188,18.90975,17.93764,17.64691,17.513,17.46009,0.01801118,0.005926365,0.006003234,0.006467051,0.01400714,-1,6500,0
1237659161206391189,5.809061,4.437759,250.542993169279,31.1158691695679,19.9605,18.49554,17.93421,17.68343,17.607,0.032337,0.007322846,0.006632712,0.006907591,0.01530966,-0.04,5426,0.717
