objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237662307809493096,-1.64834,2.409275,238.766123259435,29.6607556107045,17.61051,16.35884,16.36789,16.42172,16.45725,0.00992421,0.003952943,0.003744863,0.004166105,0.007881436,-1.5,7500,0
1237662341084807532,-13.30257,0.002214251,236.805246379504,30.0160653337288,21.39214,20.65297,20.47775,20.34313,20.15187,0.09805554,0.02334387,0.02838083,0.03423379,0.1178197,-0.09,4662,1.173
1237662619187347724,-2.106047,-2.833411,238.310468129402,30.0044927695901,20.01821,19.13203,18.77429,18.63908,18.63015,0.03984905,0.01025227,0.009847568,0.01106888,0.02989841,0.09,9899,-0.199
1237662619723759851,-0.2024255,-3.509248,237.575094769752,30.8986204617739,20.00733,18.83924,18.91728,19.04621,19.21735,0.03841277,0.008571069,0.01050167,0.01364544,0.04859814,-0.5,9500,0
1237662619723825189,0,0,237.698794196706,30.8987612825147,22.71251,21.27491,20.5811,20.18043,20.75569,0.3157228,0.04069511,0.0323226,0.03134447,0.1865176,-0.12,5617,0
1237662620261482761,-1.0222,-9.06505,239.640156735142,30.1247335986527,19.58059,19.83061,20.05778,19.61195,19.24722,0.03067769,0.01409069,0.02110882,0.02009859,0.05345492,-0.2,3717,1.502
1237662620797370495,-0.9918272,3.768721,237.801875927135,31.7658099440138,16.90195,15.99074,15.72581,15.63033,15.61743,0.007239551,0.003820255,0.003570195,0.003807455,0.005798912,-2,6500,0
1237662640119546203,7.721248,-3.192523,238.344192396508,29.7159254024367,21.15797,18.32703,17.01717,16.45589,16.13661,0.07598209,0.006936925,0.005233284,0.005177081,0.007024958,-2.09,6537,0.18
1237662640119873805,1.606967,16.58619,238.911404417699,29.2957474312102,21.32757,18.67144,17.23181,16.02899,15.40006,0.08733141,0.008037113,0.005508445,0.004883282,0.005458246,-0.2,3717,1.502
1237662640656220547,-9.518243,-10.97997,238.164269373201,30.2506380268692,22.33344,20.89692,20.67596,20.59469,20.79025,0.2030907,0.02763226,0.02824541,0.03638581,0.1524368,-0.05,5820,0.588
1237662641192763477,0,0,237.659919562012,31.0099125295593,22.71978,21.70284,21.47852,21.67125,21.32637,0.2481629,0.04771818,0.05092601,0.08344069,0.2280928,0.25,5063,0.895
1237661463303880963,-14.53389,21.48223,239.2234511776,31.4559530649691,21.31137,18.92353,17.52926,16.56307,16.04811,0.08401266,0.008931519,0.005761412,0.005183805,0.006689697,-0.2,3717,1.502
1237661463841211336,0,0,240.483133060234,31.1594898119385,24.31421,22.83977,21.3008,19.37282,18.24172,0.8210686,0.1312588,0.04847414,0.01662293,0.02207425,-0.2,3717,1.502
1237662307272163486,-18.86601,2.972692,237.37640875026,29.9452117768071,20.47424,20.11874,20.39578,20.46152,20.72482,0.04405654,0.01687839,0.02446446,0.03725754,0.1526469,0.06,7652,0.116
1237662307272360150,-16.70897,12.15479,237.790842874008,29.5615676147875,21.48089,18.96956,17.49785,16.1312,15.40704,0.09200744,0.008853001,0.005396466,0.004437787,0.005247963,-0.2,3717,1.502
1237662307272425500,1.380675,7.62669,237.870801935844,29.4910561506781,18.23088,17.34063,17.03604,16.93126,16.89731,0.01273459,0.00481888,0.004690461,0.005234406,0.009518612,0.6,3705,1.474
1237662307272425813,-0.2102804,0.1193648,237.98655500574,29.5344591001382,19.5995,18.37667,18.40598,18.47886,18.59177,0.0262566,0.006787561,0.00755652,0.009960628,0.02637272,-0.5,8500,0
1237662307272818974,-2.904397,1.863003,238.901702214059,29.0934350144003,19.81774,18.62532,18.13585,17.92863,17.84277,0.02873126,0.0075718,0.00666265,0.007545137,0.01581126,-0.74,5704,0.526
1237662307808969180,-23.58081,12.85331,237.545029118046,30.342406445184,21.91693,21.12203,20.96967,20.87678,20.59716,0.1431492,0.03409306,0.03922721,0.05520411,0.1508878,0.6,3705,1.474
1237662307809493306,0,0,238.696402559011,29.7183963025415,23.02777,22.48266,21.01219,18.9793,17.96241,0.3837709,0.09321212,0.04524618,0.01411807,0.01980948,-0.2,3717,1.502
1237662307809755226,1.270665,23.16888,239.309009007818,29.3169587027085,17.99552,17.02765,16.69813,16.55946,16.52149,0.01180919,0.004305232,0.004076984,0.004385843,0.008090671,-1.5,6000,0
1237662307809755226,1.270665,23.16888,239.309009007818,29.3169587027085,17.99552,17.02765,16.69813,16.55946,16.52149,0.01180919,0.004305232,0.004076984,0.004385843,0.008090671,-1.5,6000,0
1237662335181783057,-5.546431,2.734404,239.903950631176,30.5945742651652,17.7482,16.44444,15.99371,15.83534,15.78032,0.01002174,0.003901169,0.004009432,0.004028815,0.005837126,-0.45,5630,0.6
1237662335717605849,-1.908155,1.121464,238.145107298626,32.3969792108929,21.33817,20.43416,20.37757,20.26717,20.26217,0.09778501,0.02188278,0.02552781,0.03421742,0.1232204,0.21,4437,1.08
1237662335718195222,1.604939,3.824812,239.260052506704,31.5460142486596,18.85583,17.93864,17.67168,17.56843,17.57148,0.01866388,0.005897698,0.005803609,0.006547026,0.01461471,-2,6500,0
1237662335718260924,-24.97759,-1.286724,239.354497021811,31.4570972703832,19.49679,18.41434,18.01566,17.85969,17.78686,0.02669333,0.006977235,0.006675191,0.007444345,0.01673414,-0.6,5659,0.561
1237662336254672934,4.926032,-2.964701,238.776923683363,32.4766571936506,20.88495,19.92496,19.88371,19.93155,19.84912,0.06941309,0.01522221,0.01817223,0.02574394,0.08822607,-0.01,4395,1.299
1237662336254738687,2.749028,1.45932,238.965661886945,32.3752443174311,21.0225,18.36462,16.86166,15.93251,15.4307,0.0751494,0.006838182,0.00460697,0.004296416,0.005737341,-2.09,6537,0.18
1237662619187610101,25.40381,-9.426217,238.96288062729,29.6267025406198,22.04669,21.31542,21.08927,21.04082,20.63017,0.1935981,0.04089505,0.0454571,0.06194067,0.1530161,-0.01,4395,1.299
1237662619724611944,16.91007,25.71863,239.411469654751,29.6903570473772,23.83353,22.15248,20.48191,18.54701,17.48603,0.6546284,0.07473138,0.02860416,0.01030052,0.01476421,-0.2,3717,1.502
1237661463303422443,-0.0503758,14.80988,238.182562061397,32.0431912768991,22.33585,20.66525,19.89884,19.43949,19.08414,0.1955177,0.02538431,0.01808752,0.01731366,0.04292879,-2.09,6537,0.18
1237661463303422443,-0.0503758,14.80988,238.182562061397,32.0431912768991,22.33585,20.66525,19.89884,19.43949,19.08414,0.1955177,0.02538431,0.01808752,0.01731366,0.04292879,-2.09,6537,0.18
1237661463303749881,0,0,238.857641178803,31.6325378311233,22.94909,20.83243,20.28242,20.15758,20.38055,0.3135156,0.02810692,0.02386882,0.02949581,0.1226438,-2.09,6537,0.18
1237661463303749881,0,0,238.857641178803,31.6325378311233,22.94909,20.83243,20.28242,20.15758,20.38055,0.3135156,0.02810692,0.02386882,0.02949581,0.1226438,-2.09,6537,0.18
1237661463840358691,2.604197,-0.2368076,238.50216743115,32.3075703947824,21.01166,18.44544,17.44122,17.10696,16.91875,0.07455354,0.007253764,0.005771168,0.006021103,0.009807317,-2.09,6537,0.18
1237661463841079497,8.19164,2.651605,240.148920885245,31.3546246630791,22.02549,19.48524,18.00246,16.81697,16.15721,0.1609113,0.01200387,0.006985274,0.005722544,0.006966925,-0.2,3717,1.502
1237661850414023034,-16.62523,-0.008592332,236.39062055725,31.3149299769855,20.3833,20.33698,20.65322,20.96473,21.75003,0.05769299,0.02248553,0.0353776,0.0699205,0.4225139,-0.4,8863,0.179
1237662271288312048,3.633921,45.37059,236.433558145578,31.2580302087658,19.75619,19.70924,19.87797,20.0528,20.15237,0.03156618,0.01340496,0.01847213,0.02800596,0.1033691,-0.45,3700,1.756
1237662306198683738,11.29732,-0.7306714,237.480169658066,28.8691699307693,19.15498,19.1429,19.37438,19.61567,19.90278,0.02167206,0.009499132,0.01266486,0.01845686,0.07614773,-1.08,5373,0.539
1237662306198880293,3.58159,0.944227,237.858777967091,28.5987579288391,19.68791,18.73798,18.43677,18.32338,18.29421,0.02891824,0.007937692,0.007853922,0.008779081,0.02302827,0.6,3705,1.474
1237662306735096227,-2.823783,12.71166,236.750399265656,29.8131110551521,21.25732,20.67126,20.34459,20.21052,19.99807,0.08124115,0.02289949,0.02286597,0.02765703,0.09619361,0.6,3705,1.474
1237662307271639566,-13.27618,0.9340514,236.327638952765,30.5354606777836,22.60685,21.33728,21.13528,21.09086,20.73925,0.2024858,0.03746955,0.04308664,0.06237448,0.1525284,0.09,9899,-0.199
1237662307271704719,7.544475,2.75541,236.369683971374,30.4950030105647,21.27608,19.98959,19.9045,19.95221,20.14403,0.07105356,0.01508354,0.0171213,0.0245452,0.08915053,0.17,3900,1.363
1237662307272294426,-17.02083,20.45556,237.675034601499,29.7565618832958,15.9159,16.13215,16.62252,16.96591,17.26873,0.004871916,0.003799972,0.004427765,0.005199346,0.01159994,0.25,5063,0.895
1237662307272425887,-3.24437,-2.130179,237.95923046961,29.4115704953012,20.45889,19.13795,19.10292,19.18914,19.31992,0.04529589,0.009508808,0.01078809,0.01531516,0.04571474,0.21,6966,0.276
1237662307272556939,0,0,238.288979880851,29.3316627405529,25.28173,22.25308,20.77796,18.82282,17.76313,0.5233179,0.07365452,0.03398993,0.01222068,0.01531515,-0.57,3714,1.633
1237662307272622335,-6.419266,-5.505691,238.432004995403,29.1778924609164,20.89239,18.27886,17.21378,16.84266,16.64613,0.05854819,0.006699067,0.004892683,0.005130609,0.008367313,-2.09,6537,0.18
1237662307272622335,-6.419266,-5.505691,238.432004995403,29.1778924609164,20.89239,18.27886,17.21378,16.84266,16.64613,0.05854819,0.006699067,0.004892683,0.005130609,0.008367313,-2.09,6537,0.18
