objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237662223545335839,-15.88477,14.54057,225.325384765595,31.3383500648006,17.79348,16.50182,15.99992,15.79799,15.73497,0.01020224,0.004272691,0.004514657,0.004303435,0.006163613,-0.76,5320,0.704
1237662223545336019,-4.197772,3.034995,225.3274820576,31.3656806241656,20.43307,18.13611,17.16638,16.80726,16.61589,0.04459146,0.006448594,0.005355758,0.005186024,0.008821857,-0.39,4576,0.983
1237662223545729098,2.215902,14.76091,226.25947204379,30.9393584412923,18.19852,15.97134,15.04846,14.6961,14.51572,0.01238177,0.003759491,0.004426972,0.004230684,0.004469057,-0.39,4576,0.983
1237662223545729275,0.5744402,5.490811,226.332397193341,30.888767022759,19.78041,18.66353,18.18763,17.94,17.85045,0.02965306,0.008008259,0.007236247,0.007760939,0.01844803,-1.48,5257,0.638
1237662223545729489,-3.224385,1.129829,226.361041822495,30.9032115258718,21.63188,20.29306,19.77353,19.55924,19.45921,0.1058166,0.01989011,0.01588685,0.01986579,0.06352473,-0.5,6000,0
1237662223545729839,0,0,226.419967710121,31.0135287023833,22.69796,21.53034,21.25682,21.17932,20.88834,0.2720813,0.05057947,0.04769344,0.07507011,0.2290606,-0.05,5820,0.588
1237662223545794639,-1.206215,9.452959,226.413319164028,30.8864262746951,18.73991,17.62306,17.66685,17.71693,17.82749,0.01619801,0.005267602,0.006117664,0.007072359,0.0184375,-1,8500,0
1237662223545794680,-3.660178,2.670038,226.486160496427,30.9593167133513,16.67044,15.41412,15.52826,15.60247,15.65324,0.006419549,0.003533269,0.004598143,0.004513982,0.005812805,-1,8500,0
1237662223545794687,-11.21472,-1.078445,226.450409502225,30.8895373196942,19.45065,18.6054,18.28593,18.15253,18.20654,0.02410544,0.007700277,0.007517457,0.008522874,0.02422103,-2.5,6000,0
1237662223545794882,-2.063384,5.848229,226.535642124566,30.878601238668,19.58765,18.20359,17.70323,17.50487,17.46004,0.02629593,0.006495364,0.006141256,0.006596467,0.01456103,-0.32,5476,0.645
1237662224082141315,-13.60975,2.955481,225.38033472895,31.7740660276635,21.56849,20.15827,19.64651,19.46648,19.36413,0.1132851,0.01693168,0.01533813,0.01856383,0.05300594,0.36,5232,0.767
1237662224082206953,-5.008819,12.43045,225.471550468122,31.633960748076,19.33717,17.17725,16.34136,16.00066,15.83887,0.02373525,0.004789718,0.005045671,0.004496416,0.006552217,-0.12,4775,0.95
1237662224082534517,-0.216599,2.521884,226.36760499089,31.3189454016322,18.63705,17.20184,16.68645,16.51648,16.45253,0.01630212,0.004534966,0.005345916,0.005606052,0.008125701,-0.35,5377,0.656
1237662224082665904,0,0,226.653575626448,31.2222432665793,21.47537,20.83487,20.53782,20.38332,20.05975,0.1008974,0.02758439,0.02658643,0.03574706,0.1017098,0.6,3705,1.474
1237662224082993786,0,0,227.457665857766,30.9880225396944,23.07195,22.58682,20.73307,19.65753,18.91555,0.418947,0.1022467,0.03149206,0.02181398,0.044289,-0.2,3717,1.502
1237662224619536417,-10.4912,18.2157,226.812266970554,31.6109770340745,17.9323,16.82394,16.44579,16.30485,16.25044,0.01159163,0.004305796,0.005126783,0.005095717,0.008003667,-0.45,5873,0.53
1237662224619536440,-8.822763,5.784087,226.893933565677,31.5623202355249,19.11175,17.66364,17.14182,16.93851,16.86198,0.02087693,0.005299903,0.005642879,0.005755691,0.01062965,-0.71,5285,0.692
1237662224619536512,-6.733624,4.228265,226.924334427048,31.6751885876104,20.06199,18.97261,18.47201,18.27341,18.19724,0.03638583,0.008957693,0.008234459,0.009038107,0.02413952,-0.76,5320,0.704
1237662224619601925,-17.35941,-7.557761,226.9399156336,31.5934466700051,16.5842,15.14476,14.64501,14.50939,14.47472,0.006735496,0.003571551,0.004489557,0.00459242,0.00468809,-0.02,5563,0.701
1237662224619601946,-5.587919,-5.757807,226.990498821958,31.5964852505826,18.60575,17.29577,16.77875,16.60748,16.5373,0.01601429,0.004747082,0.005093391,0.005435759,0.009002739,-0.76,5320,0.704
1237662224619601988,-48.87947,5.125884,227.051410225647,31.586000845989,16.59823,15.68526,15.34504,15.24476,15.23176,0.006710599,0.00344721,0.00428424,0.004521257,0.005677619,-1.5,6000,0
1237662224619602120,-15.90669,3.287458,227.081262829117,31.6095862250967,19.74829,18.23403,17.55836,17.31908,17.2182,0.02993582,0.006359508,0.005898286,0.006140819,0.01297794,-0.16,5059,0.811
1237662224619667507,-3.997462,0.6869541,227.180873700124,31.5480693913215,17.3834,16.03561,15.56485,15.43285,15.40375,0.008955487,0.003359705,0.004381985,0.004727711,0.00588748,-0.32,5476,0.645
1237662224619667520,0.1848272,-2.623145,227.180614351661,31.491561247977,17.54834,15.94222,15.34611,15.15341,15.08776,0.009661436,0.00332129,0.004355527,0.00469842,0.005360352,-0.12,5281,0.732
1237662224619667544,-9.236014,1.834621,227.200265861692,31.430604467012,17.5301,15.93857,15.32111,15.09304,14.99748,0.009498431,0.003304124,0.004441051,0.004884857,0.005312374,-0.51,4671,0.935
1237662224619667560,-2.048174,7.305214,227.238883471156,31.4915622772736,19.13527,18.1943,17.80419,17.70501,17.69606,0.02164276,0.006268317,0.006436286,0.007308636,0.0173055,-1.51,5645,0.427
1237662224619667560,-2.048174,7.305214,227.238883471156,31.4915622772736,19.13527,18.1943,17.80419,17.70501,17.69606,0.02164276,0.006268317,0.006436286,0.007308636,0.0173055,-1.5,6000,0
1237662224619667584,-9.981427,4.581822,227.139972437466,31.5728640213931,19.94637,18.54313,17.91455,17.66369,17.56226,0.0344684,0.007414564,0.006606625,0.006973207,0.01585518,-0.16,5059,0.811
1237662224619667642,-13.25828,15.41155,227.260021933335,31.5911789309473,19.14827,18.29359,17.92188,17.82209,17.78532,0.02156997,0.006550649,0.006694047,0.007548188,0.01836941,-2,6000,0
1237662224619667657,-11.02991,-0.5519935,227.265743820495,31.5471355470608,19.84076,18.89169,18.49032,18.3799,18.35077,0.03255662,0.008745732,0.008313945,0.009499981,0.02698194,-1.5,6000,0
1237662224619667668,10.17328,0.1746122,227.230549770516,31.4595390386837,20.79672,19.52204,18.99692,18.8261,18.79525,0.06205463,0.01252981,0.01053714,0.01185899,0.03725748,-0.76,5320,0.704
1237662224619733175,0,0,227.358652104007,31.4953353284012,20.2088,17.79416,16.66742,16.21845,15.96276,0.04294737,0.005417663,0.004726347,0.004890076,0.006919179,-0.28,4382,1.069
1237662224619798566,-8.520256,22.23621,227.499193148444,31.4327482943088,17.86072,16.9335,16.57667,16.43554,16.4463,0.0111511,0.00435082,0.004868002,0.005093025,0.008670732,-1.5,6000,0
1237662224619798823,-65.81693,7.907106,227.582177183153,31.4479165002695,23.09318,20.76796,19.33628,18.52658,18.14009,0.3613241,0.02547681,0.01257918,0.01020224,0.02538915,-0.04,3980,1.491
1237662661600215143,-22.43242,16.15864,225.205664947848,31.6544192589196,17.77984,16.87665,16.61888,16.51087,16.50189,0.0105751,0.004497641,0.004811321,0.005023623,0.008630181,-1.5,6500,0
1237662661600346285,-4.933181,1.688616,225.379317284465,31.4405219552862,19.60477,18.3248,17.82694,17.62228,17.57688,0.02760256,0.007051066,0.006303813,0.006876864,0.01650846,-0.71,5285,0.692
1237662661600346285,-4.933181,1.688616,225.379317284465,31.4405219552862,19.60477,18.3248,17.82694,17.62228,17.57688,0.02760256,0.007051066,0.006303813,0.006876864,0.01650846,-0.71,5285,0.692
1237662662674087938,-2.402964,13.0091,225.788782099343,32.2670317381696,17.08741,16.12286,15.77107,15.64828,15.63687,0.008289203,0.004206388,0.004558165,0.004922553,0.006556594,-1,6000,0
1237662662674087957,13.61484,14.3518,225.897058370483,32.3247871288583,16.91712,15.80002,15.40686,15.2835,15.26164,0.007724047,0.004073241,0.004501747,0.004846485,0.005930733,-1.08,5373,0.539
1237662662674088196,-11.90828,-17.76749,225.931577415215,32.2835520973621,21.23034,20.3261,19.9043,19.74085,19.64781,0.08788873,0.01869017,0.01836411,0.02205179,0.07947022,-0.07,7134,0.287
1237662662674612307,-15.95558,0.2713093,227.234950637499,31.753428413924,17.72748,16.80009,16.54409,16.4544,16.44274,0.01080695,0.004656676,0.004950678,0.005420111,0.009074944,-1.5,6500,0
1237662662674612525,20.18903,6.999321,227.118918492891,31.6900820837723,21.23986,20.82216,20.73065,20.6331,20.4653,0.08588585,0.02557497,0.03245901,0.0431365,0.1510933,-0.1,5059,0.877
1237662662674612757,0,0,227.081017618699,31.6989764219161,22.60737,21.22373,21.02637,20.90809,20.74496,0.244662,0.03363509,0.0405513,0.05357871,0.1906539,-0.33,4547,1.323
1237662662674678593,0,0,227.341889528872,31.7016168797801,23.48797,21.80183,21.44519,21.25119,21.11451,0.4652913,0.05037419,0.05471929,0.06906008,0.2571486,-2.09,6537,0.18
1237662662674743329,-10.00691,-10.85781,227.402773885821,31.6110524595725,17.51768,16.1554,15.65467,15.47195,15.40643,0.009960023,0.004385835,0.004683345,0.005064062,0.006262649,-0.76,5320,0.704
1237662662674743452,0.4954242,-1.854571,227.496856477331,31.6927771774736,19.92734,18.7356,18.18509,17.92453,17.8733,0.03484325,0.008086965,0.007465067,0.007910365,0.01975081,-1.44,5073,0.709
1237662663210893442,5.836975,-0.9731522,225.93843482347,32.606479128132,17.71201,16.14552,15.47762,15.21192,15.06419,0.01114052,0.004195264,0.004561172,0.004775796,0.005604772,-0.59,5126,0.828
1237664853648999133,0,0,227.665591074987,29.8147641934716,23.28381,21.70507,21.46883,21.33643,21.32399,0.3825561,0.04491165,0.05375007,0.06631678,0.2724141,-1.08,5373,0.539
1237662223546516262,0,0,228.261414948336,30.2391497016947,23.95724,21.88109,21.49593,21.2883,21.40095,0.563114,0.06100148,0.06921773,0.073167,0.3205472,-1.08,5373,0.539
1237662224081944599,-10.2486,1.13177,224.863084306712,31.9718204819671,18.23439,16.85502,16.30456,16.11516,16.02818,0.01318122,0.004570285,0.004577749,0.004319988,0.006715669,-0.71,5285,0.692
1237662224081944703,-28.1799,-7.385016,225.01100987615,32.0217039655336,17.79421,16.85818,16.5848,16.47242,16.42927,0.01064631,0.004582753,0.00472773,0.005154942,0.008161695,-1.5,6000,0
