objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237665128018149821,-8.745326,-7.393651,214.793117118083,30.9615626244854,23.85956,22.66886,21.16149,19.49518,19.03461,0.6253912,0.1045988,0.04661905,0.01866172,0.04574103,-0.2,3717,1.502
1237665101136921086,5.569307,-1.159135,213.17845981249,30.5953779939633,23.41128,21.17348,20.74823,20.53386,20.34266,0.6047946,0.04408935,0.04173985,0.04912268,0.1529448,0.09,9899,-0.199
1237665101137445310,0,0,214.523689380406,30.3577429994898,22.08834,21.33811,21.1167,20.82321,20.62885,0.2273801,0.04778708,0.05560777,0.05819059,0.2048221,0.09,9899,-0.199
1237665101137707420,-4.446121,3.930947,215.178641092042,30.1629618315148,23.50802,20.72584,20.039,19.72512,19.58488,0.6357434,0.02847077,0.02289643,0.02481567,0.07295637,-0.54,4575,0.968
1237665101137773040,0,0,215.377825235468,30.1873930061259,22.62959,21.80227,21.61853,21.40391,20.99365,0.3370111,0.06901465,0.08720911,0.09401233,0.2459167,0.09,9899,-0.199
1237665101138034826,-16.16723,-6.062507,216.069545332013,30.0412406822555,17.03203,15.85264,15.44715,15.28147,15.23177,0.00755487,0.003340562,0.003572052,0.00403501,0.004944766,-0.08,5756,0.558
1237665101138296977,-5.287808,2.985988,216.663624332583,29.8750620736041,20.16364,19.03104,18.62839,18.49257,18.40018,0.04421892,0.009534324,0.008901842,0.01006289,0.02818479,-1.08,5373,0.539
1237665101673726483,0,0,213.186495217063,31.1666085117289,23.91357,21.04351,20.36266,20.20613,20.06683,0.8558792,0.03660755,0.02881209,0.03666678,0.09967104,-2.09,6537,0.18
1237665101674053829,-3.87935,-3.188701,214.074335288035,30.9023200535758,19.66056,18.52945,18.55713,18.65271,18.75488,0.03417539,0.007540959,0.008772304,0.01113586,0.03420151,-1,8500,0
1237665101674250524,0,0,214.457929659239,30.7792598631823,21.65375,20.83104,20.52083,20.34404,20.04836,0.1467436,0.03043497,0.03128527,0.03807086,0.1083128,0.09,9899,-0.199
1237665101674905753,-0.5843599,-1.947981,216.145878205324,30.2828096325363,21.25933,18.53393,17.45408,17.08942,16.87628,0.1075327,0.007579642,0.00549174,0.005568597,0.009832663,-0.28,4382,1.069
1237665102210597062,-23.90613,-12.33415,213.30691763306,31.5046092820033,21.52195,19.03748,17.6198,16.54566,15.98959,0.1236835,0.009550753,0.005728964,0.004477819,0.006941577,-0.2,3717,1.502
1237665102211842158,3.596267,20.74273,216.469851735694,30.7772374142188,19.79249,18.82119,18.40442,18.24162,18.19729,0.03584052,0.008567867,0.008070501,0.008830852,0.02365409,-1.16,5961,0.452
1237665129628565769,5.869005,2.134094,214.851738273725,32.2226783665676,21.51745,20.89844,20.59863,20.55979,20.10127,0.118745,0.02729258,0.03307167,0.04933699,0.1182152,-0.09,4662,1.173
1237665180058517692,-21.21377,29.62667,215.907756024875,29.041660220487,20.62728,19.36141,18.88955,18.67324,18.6687,0.06035767,0.01069413,0.01009999,0.01117254,0.03476794,-0.75,5324,0.613
1237665330400395785,-15.99398,-9.666677,214.519658883013,29.0326650792924,24.1503,20.85554,20.20951,19.9304,19.90782,0.9433513,0.0298372,0.0255203,0.02883065,0.1149162,-2.09,6537,0.18
1237665330400657467,-0.6580399,0.3853735,215.197874363798,28.9139600579818,18.50631,16.62476,15.83461,15.51231,15.34786,0.01733699,0.003718365,0.00348347,0.003668069,0.005510828,-0.23,4955,0.871
1237665330400788541,-13.59829,21.3707,215.448746278846,28.8939734986013,20.47091,19.54255,19.20394,19.0202,19.09214,0.0609308,0.01243041,0.01274225,0.01486067,0.05754527,-2.62,5100,0.563
1237665330936348861,-23.77785,-15.09873,212.378625169575,29.9752585044934,18.89839,18.74713,19.08851,19.39347,19.58729,0.01989699,0.008191098,0.01202315,0.02151508,0.07371192,-0.27,4066,1.381
1237665330937659544,-5.937059,14.22237,215.670220617629,29.2673030752209,20.36656,19.47942,19.21742,19.15149,19.08925,0.05176759,0.01239741,0.01275159,0.01751176,0.04941348,-2.03,5937,0.43
1237665330937856092,-8.459113,6.895722,216.085979640935,29.2389938523584,20.33284,19.38762,19.08591,18.95672,18.85945,0.05055351,0.01161355,0.01180406,0.01529436,0.04147317,-2,6000,0
1237665331474333765,-3.972835,12.4004,215.225228476066,29.7535404963292,19.20406,18.0978,17.63536,17.46008,17.36337,0.02610732,0.005992028,0.00550214,0.006233063,0.01475897,-0.76,5320,0.704
1237665331474334046,-4.632032,5.141705,215.22702214521,29.7704231418176,24.6706,20.96763,20.12088,19.83378,19.56141,1.101721,0.03310447,0.02491922,0.03015837,0.08201487,-0.28,4246,1.108
1237665331474726964,-1.214776,2.194812,216.282081356835,29.4992074127122,18.38895,16.01922,15.04624,14.72394,14.57105,0.01629223,0.003342507,0.002956771,0.00301309,0.003998763,0.07,4528,1.038
1237665331474792453,-4.281151,2.388858,216.397638114725,29.5430003444268,18.97145,18.03862,17.66575,17.53367,17.50124,0.02304368,0.005815041,0.005559578,0.006508015,0.0166045,-1,6000,0
1237665331474792472,-7.339602,-0.5559015,216.426221937625,29.5246437839982,17.47798,16.33431,15.9397,15.81457,15.76861,0.01009772,0.003477613,0.003319156,0.003487682,0.006109259,-1.08,5373,0.539
