objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237666211930704162,273.672214655862,24.0660582618287,13.74,-24.39804,25.45988,21.52058,20.22748,19.62107,19.30334,0.7205985,0.04913969,0.02626075,0.02277244,0.06269479
1237666211930704160,273.667922086448,24.0580965535882,0,0,22.89102,21.92254,21.30416,21.03923,20.64629,0.4000248,0.07132231,0.06561353,0.07606874,0.2076638
1237666211930704157,273.681069120171,24.0926811647774,0,0,23.02571,21.51874,20.94881,20.6737,20.4409,0.4402274,0.04928805,0.04751345,0.05384398,0.1703722
1237666211930704154,273.703065076258,24.1388588746051,0,0,22.60732,21.53182,21.09724,20.86978,20.79589,0.3196861,0.05106668,0.05560672,0.06653104,0.2414701
1237666211930704147,273.707515196817,24.1531249921461,0,0,23.0397,21.68901,20.98668,20.77201,20.42143,0.4331082,0.05627496,0.04942337,0.05911749,0.1704762
1237666211930704145,273.701138713317,24.1413867468482,1.110809,3.866926,22.5579,20.68573,19.83896,19.49002,19.18151,0.2966361,0.02625955,0.020146,0.02123275,0.05923374
1237666211930704142,273.656722497501,24.0493901900268,0,0,25.3849,22.32352,20.85421,19.96573,19.36131,0.7894572,0.1015112,0.04548911,0.03150735,0.07054001
1237666211930704138,273.700090496612,24.1446969566803,1.553145,-3.614745,22.07058,20.84776,20.23873,19.91573,19.75371,0.1948083,0.02919704,0.02685514,0.02898174,0.09443799
1237666211930704132,273.654826339378,24.047553538785,0,0,25.78215,21.93903,20.87414,20.43912,19.93725,0.5665315,0.06863425,0.04344551,0.04294717,0.1069165
1237666211930704130,273.702458406198,24.1545287556853,0,0,24.76734,21.38526,19.95582,19.33049,19.00265,0.9471185,0.04372162,0.02167226,0.01866651,0.05033109
1237666211930704129,273.690435008618,24.1282636384144,9.796021,14.17024,24.30923,20.6883,19.88344,19.48501,19.32468,0.9366416,0.02620449,0.02069371,0.02109352,0.06610675
1237666211930704124,273.6944984085,24.1390536107274,0,0,22.74874,21.48407,20.92695,20.67094,20.62692,0.3436288,0.04731234,0.04647466,0.05369763,0.2015362
1237666211930704123,273.659099709079,24.0609187014733,-9.662262,-5.022646,22.28428,20.51764,19.6513,19.2566,19.04568,0.2387478,0.02370161,0.01754522,0.01786195,0.05253138
1237666211930704119,273.677634503926,24.1030009160941,8.485003,1.423461,24.38111,20.8497,20.00175,19.61459,19.33374,0.9124976,0.02928869,0.0222901,0.02283587,0.06515741
1237666211930704116,273.691712110683,24.1373436306892,10.04276,-5.098249,23.62263,21.77155,20.09767,19.22848,18.73995,0.655249,0.0598669,0.02409469,0.01728833,0.04053405
1237666211930704111,273.674431389975,24.1004523122968,0,0,25.14385,22.31693,20.80589,19.72762,19.2345,0.9449523,0.1031302,0.0453622,0.02711775,0.06561281
1237666211930704109,273.648107488009,24.0472193840188,-15.98763,0.2155704,24.13581,22.13771,20.66344,19.28656,18.53686,0.8535667,0.08275419,0.03724639,0.01792952,0.03425469
1237666211930704105,273.655389209687,24.0666567834026,0,0,24.09383,21.97473,20.49649,19.56111,19.15803,0.8494552,0.07211874,0.03287692,0.02215766,0.05695753
1237666211930704102,273.691925701503,24.1483949560335,0,0,25.31797,21.99369,20.65348,19.93323,19.48362,0.7542027,0.07149617,0.03726769,0.02938972,0.07483698
1237666211930704164,273.678817070358,24.0836950936436,0,0,23.14059,22.32038,20.78064,19.66496,19.05494,0.4714162,0.09558361,0.04119967,0.0236556,0.05159044
1237666211930704174,273.666699530761,24.0477930897115,0,0,25.79827,22.19938,20.75065,19.97529,19.53812,0.550755,0.08603194,0.03962721,0.02992819,0.07679346
1237666211930704089,273.65815730277,24.0902764661417,0,0,25.50911,22.03812,20.49811,19.67432,19.09445,0.6648331,0.07414864,0.03254887,0.02362348,0.05315597
1237666211930704087,273.640772872801,24.0528752218718,0,0,26.08722,21.69836,21.13007,20.70718,20.55983,0.4450699,0.05825445,0.05570061,0.05621301,0.1914839
1237666211930704081,273.636415356377,24.0519265714706,0,0,24.27781,21.14552,19.97903,19.43757,19.0701,0.9010414,0.03750768,0.02205732,0.02020015,0.0531571
1237666211930704076,273.657224685381,24.1004815110488,5.797765,-0.7749672,23.54113,21.37352,20.04894,19.38419,19.04428,0.6204469,0.04345357,0.02308398,0.01915907,0.05116022
1237666211930704056,273.658591799276,24.1139818542473,0,0,22.53674,21.85412,21.53051,21.10491,21.87468,0.2921312,0.06636568,0.07958489,0.08052,0.5523226
