objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237665328785195132,202.413168117491,30.1874998593393,-101.2165,63.75906,22.97239,20.23126,18.76392,18.1855,17.84546,0.4334782,0.02061742,0.009913256,0.009350891,0.02159975
1237665328785195138,202.45498334835,30.1467662192927,-15.12804,14.79075,24.27721,20.84851,19.38696,18.02541,17.27252,0.9735346,0.0322646,0.01472557,0.008489092,0.01447418
1237665328785195139,202.469865998598,30.2172288303379,-44.02483,26.74549,22.527,20.50292,19.49444,18.99777,18.78914,0.3021712,0.02537555,0.01601852,0.01630536,0.04595274
1237665328785195140,202.461913473859,30.1365385264363,5.850405,12.12275,22.54977,20.11659,19.26443,18.90013,18.72946,0.3107935,0.01914443,0.01363126,0.014879,0.04377775
1237665328785195141,202.470326554579,30.1634898603952,2.018414,7.99355,24.01843,20.80708,19.39393,18.59282,18.16533,0.8859257,0.03123339,0.01479539,0.01208182,0.02755826
1237665328785195148,202.421214626346,30.2188875299332,-11.37135,45.25066,23.4785,21.22073,19.77999,18.78603,18.29434,0.6369597,0.04334486,0.01925494,0.01378153,0.03036509
1237665328785195149,202.473306543855,30.1666942011099,-12.25846,-3.374594,24.89958,21.72095,20.11033,18.92874,18.29856,0.982763,0.06388871,0.02459466,0.01503317,0.03023201
1237665328785195150,202.494072765757,30.1813686025329,11.76675,44.90376,24.88688,21.97297,20.35494,18.97886,18.18952,1.018499,0.08134813,0.03066067,0.01612397,0.02881352
1237665328785195153,202.52900463094,30.2044086922294,19.03416,9.513792,26.12895,21.49859,20.04377,18.70343,18.02106,0.4684483,0.05343045,0.02350984,0.01298241,0.02438395
1237665328785195206,202.516070432055,30.1267937335791,-5.497937,4.187532,21.19363,20.34556,20.0575,20.03815,19.67684,0.1023578,0.02244314,0.02423498,0.03589358,0.0990271
1237665328785195241,202.381885794846,30.2102032153676,-23.37271,-3.637443,23.5702,22.40128,20.79905,19.37823,18.67165,0.6807457,0.1169436,0.04284155,0.02160873,0.04227877
1237665328785195246,202.376504903697,30.1483836848364,10.79318,-10.64293,23.00345,22.27282,20.95822,19.97521,19.38835,0.459666,0.1034508,0.04851496,0.03429704,0.07695196
1237665328785195271,202.412414764448,30.2135304316918,0,0,23.25653,22.32615,20.5401,19.19098,18.50494,0.5300512,0.1065369,0.03402964,0.01836663,0.03557876
1237665328785195322,202.435363875978,30.1414027065448,0,0,25.59673,21.86412,20.74112,20.18898,19.82052,0.7193798,0.07195623,0.04046075,0.04001907,0.1093383
1237665328785195367,202.494543702509,30.2018640391471,0,0,22.28484,20.6781,20.19218,19.91883,19.88087,0.2412924,0.02837825,0.02631873,0.03215163,0.1135792
1237665328785195378,202.501768394484,30.2182415080982,-6.324496,19.84825,24.03729,21.79917,20.50406,19.18275,18.58063,0.9163921,0.07000166,0.03419654,0.01855756,0.03868151
1237665328785195382,202.490876694664,30.1399785942816,1.605299,37.25749,24.02542,21.26519,20.06435,19.52422,19.19235,0.8941299,0.04463869,0.02412613,0.02367034,0.06449425
1237665328785195389,202.497264717691,30.1446837653947,0,0,22.28371,21.55046,21.39407,21.2751,21.04992,0.2698199,0.06154106,0.07855315,0.1161853,0.3627127
1237665328785195410,202.512044029475,30.1630477791471,0,0,25.37471,21.91165,20.64408,19.4775,18.94636,0.8303999,0.07655654,0.03853241,0.02312038,0.05276748
1237665328785260550,202.553472022393,30.186982129176,-0.738187,5.286381,18.69172,17.49088,17.08728,16.94066,16.88598,0.01773666,0.004864166,0.004563893,0.005144482,0.01117547
1237665328785260552,202.555924103016,30.1268679201573,-51.88869,-26.03416,17.93551,15.62133,14.58439,14.18844,13.96346,0.01172815,0.003273313,0.002997032,0.003270913,0.003632357
1237665328785260556,202.578998604656,30.1028358836241,3.232557,18.64009,16.85023,14.97852,14.34885,14.16706,14.08858,0.006943524,0.00310914,0.002933011,0.003283445,0.003690216
1237665328785260558,202.592179841618,30.1603389131966,-15.59458,19.36038,17.7154,16.17009,15.61485,15.39278,15.28667,0.01043896,0.003518437,0.003278121,0.003579663,0.005118947
1237665328785260570,202.647010835547,30.1031666173067,7.459875,23.07062,18.74671,17.85119,17.46144,17.30442,17.25456,0.01835923,0.005564541,0.00524183,0.005929974,0.01408233
1237665328785260575,202.678379775484,30.0960383877188,-9.607275,18.23285,18.24643,16.59398,15.97619,15.76154,15.64904,0.01390681,0.003828225,0.003457891,0.003801272,0.00585608
1237665328785260585,202.5281416896,30.1237257583382,-1.338909,10.90534,20.79222,19.77348,19.46529,19.34283,19.40047,0.07385764,0.01516431,0.01571053,0.02045881,0.07632703
1237665328785260592,202.538318985516,30.1295767083795,-13.74351,4.651232,19.80681,18.61026,18.19494,17.99531,17.95756,0.03580369,0.007795768,0.007270719,0.00831125,0.02320082
1237665328785260595,202.548074863147,30.1412876953122,-13.89532,3.267628,19.6022,17.98117,17.35196,17.09453,16.97599,0.0313765,0.005870505,0.005007557,0.00545429,0.01182511
1237665328785260599,202.545005231887,30.1194746606115,-6.911294,0.7302337,21.73501,18.90151,17.76511,17.31657,17.08529,0.1566763,0.009087096,0.005916937,0.005971729,0.01269564
1237665328785260613,202.581929372034,30.1617951008289,-10.9918,3.768236,21.72459,19.24106,17.84069,17.06812,16.65777,0.1540407,0.01095072,0.006124027,0.005399159,0.009734903
1237665328785260615,202.57995158726,30.1351508222067,-3.480366,6.507528,19.93403,19.0258,18.78648,18.67297,18.63738,0.0390499,0.009665838,0.01008956,0.01255325,0.03924348
1237665328785260617,202.575754831913,30.110270839193,12.54602,28.26701,21.42083,18.80717,17.42519,16.60149,16.16947,0.1216353,0.008649485,0.005148381,0.00459288,0.007484158
1237665328785260630,202.616127768863,30.197783525061,-3.770574,5.332456,22.89375,19.73045,18.41331,17.83395,17.4655,0.4122365,0.01471618,0.008166862,0.007657705,0.01625173
1237665328785260638,202.620098196395,30.1311025809486,-23.18955,-6.938103,24.3761,20.63268,19.22444,17.75058,16.95347,0.9925945,0.02689735,0.01327464,0.007311678,0.01159847
1237665328785260639,202.624202688947,30.1383154193454,-0.2418271,12.70421,20.04918,19.12098,18.84538,18.7207,18.73155,0.04254409,0.0101507,0.01045716,0.01296953,0.042003
1237665328785260642,202.627193345382,30.1378481393295,-3.68407,14.23141,22.91022,20.42312,19.81515,19.55232,19.43474,0.4188248,0.02317628,0.02012519,0.02372256,0.0767362
1237665328785260686,202.632855285412,30.1570538468487,13.22408,81.00562,22.04676,19.32331,17.8632,16.90748,16.37594,0.2007352,0.0114074,0.006193572,0.005066132,0.008273055
1237665328785260689,202.631052943945,30.0986826733447,1.41019,36.85368,19.66512,17.09179,15.91616,15.45567,15.19038,0.03255608,0.00436504,0.003439121,0.003594008,0.004919409
1237665328785260693,202.63624557928,30.0943687096712,-1.22861,7.226271,19.43768,18.35861,18.09471,18.03163,18.03001,0.02830241,0.006906977,0.006941673,0.008494255,0.02442137
1237665328785260698,202.650161957996,30.1335549899931,-17.53471,11.92766,21.68435,20.91585,20.74204,20.44027,20.45155,0.1541072,0.03354576,0.04195176,0.05030011,0.1929054
1237665328785260710,202.675116312881,30.1198115776883,9.537706,7.176533,21.72748,19.59107,18.49061,18.086,17.8487,0.1552306,0.01328671,0.008502397,0.008718683,0.0212404
1237665328785260729,202.592065457418,30.2053383451925,-7.020311,4.100271,23.27257,20.4781,19.08487,17.84019,17.17947,0.5542216,0.02444695,0.01216252,0.00774522,0.01353415
1237665328785260747,202.604332065836,30.1932147794832,-18.65508,-6.575533,22.25815,20.44122,19.0716,17.81931,17.22132,0.2409345,0.02356874,0.01205245,0.007643247,0.01378746
1237665328785260753,202.642404687302,30.184957725858,-12.48456,15.26996,22.62132,20.5199,19.23103,18.39259,17.93888,0.3198402,0.02481012,0.0132261,0.01056688,0.02286738
