objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237662619724021843,238.177942061776,30.5297805861374,-9.594049,6.363597,17.00134,15.15712,14.48157,14.27608,14.19495,0.007811264,0.003560835,0.003651965,0.003997364,0.004625336
1237662619724021847,238.197041296908,30.5436185812293,-8.308984,4.221622,18.38188,17.36289,17.01774,16.89654,16.84716,0.01517308,0.004882492,0.004864689,0.005333497,0.01042512
1237662619724021857,238.204123789641,30.5326563840481,3.296601,2.379926,19.07894,17.03615,16.20907,15.83507,15.70525,0.02221837,0.004529733,0.004091379,0.004309697,0.006344544
1237662619724021860,238.219125948206,30.5496604516048,-4.611972,-14.08764,18.99562,16.59907,15.47971,15.06017,14.83514,0.02101987,0.004116894,0.003793602,0.004155209,0.005045509
1237662619724021863,238.195249421577,30.518024090454,-8.672993,14.97512,19.09513,18.12802,17.78759,17.6415,17.62859,0.02221585,0.006304307,0.006144321,0.006800656,0.01635238
1237662619724021868,238.239785497837,30.5698942785065,-0.5271925,3.336731,17.68925,16.45036,16.00945,15.86558,15.81619,0.01070469,0.004029482,0.004050773,0.00448193,0.00668353
1237662619724021876,238.249952330683,30.5804726495432,-14.0879,-5.052065,17.14599,15.18838,14.47,14.23886,14.13706,0.008308911,0.003577729,0.003656558,0.004057458,0.004584484
1237662619724021886,238.212907478598,30.5343991289421,0,0,24.63454,21.94451,20.45453,19.03784,18.52116,0.8450259,0.06992869,0.02903623,0.0137724,0.02982834
1237662619724021894,238.265523021031,30.5863740107567,-12.14957,-6.20489,18.70551,16.94102,16.26784,15.99571,15.93018,0.0179934,0.004431131,0.00419659,0.004544069,0.006969166
1237662619724021971,238.202761962308,30.6091520762724,-19.58468,6.516106,20.31063,18.90948,18.38207,18.21195,18.12717,0.04722575,0.008911422,0.007918551,0.008586817,0.02233014
1237662619724021992,238.194428122604,30.5604503965337,-3.231147,2.960447,19.3208,18.23962,17.84674,17.71572,17.65847,0.02551885,0.006582725,0.006299905,0.006939895,0.0165758
1237662619724021994,238.222978395436,30.5893803590322,-23.85459,-5.023022,21.9937,19.40306,18.04332,17.47376,17.14699,0.1686008,0.01151926,0.006814452,0.006342125,0.01224696
1237662619724021996,238.216165841987,30.5649651710414,-8.255678,4.651373,22.90344,19.92478,18.56438,17.70072,17.21996,0.3560977,0.0157345,0.008661557,0.006904902,0.01284967
