objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237651251525256353,261.682905401604,27.0527104160187,0,0,22.17636,21.14261,20.81193,20.86521,20.57629,0.1723281,0.03049619,0.03418219,0.05108983,0.1571821
1237651251525256350,261.604614470495,27.0182291311113,-7.468334,-2.00278,21.85999,20.87229,20.51237,20.45034,20.47949,0.1276031,0.02497843,0.02669777,0.03544788,0.1416876
1237651251525256349,261.711667044907,27.0722357750262,-10.50902,-3.734498,21.43309,20.65347,20.28143,20.22985,20.05188,0.09502329,0.02155344,0.02272782,0.03011783,0.09814166
1237651251525256348,261.713280414448,27.0723371392123,0,0,25.00861,22.7508,21.27334,19.7022,18.77887,0.6820292,0.1033909,0.04798623,0.02031809,0.03518432
1237651251525256346,261.653808893413,27.0502326511146,0,0,21.42693,21.05048,20.93047,20.60066,20.40157,0.09361245,0.02864134,0.03756724,0.0410172,0.1360108
1237651251525256341,261.582133144612,27.0215112795008,0,0,22.162,21.05319,20.48951,20.30907,20.24968,0.163909,0.02826844,0.02622411,0.03158065,0.1171353
1237651251525256330,261.597868179635,27.0397147925689,0,0,21.9531,21.7788,22.062,21.77096,21.90614,0.1402685,0.04840817,0.09303167,0.1063212,0.4331781
1237651251525256329,261.600519806232,27.0390333676374,-9.045834,-1.050003,21.47083,21.60087,21.88039,21.4769,21.18564,0.09485996,0.04228614,0.07963645,0.08263312,0.2557228
1237651251525256327,261.599556375653,27.0411563804045,-30.38715,1.871567,24.55801,22.32986,20.9113,19.47352,18.77997,0.7155434,0.07428659,0.03624486,0.01735045,0.03560912
1237651251525256319,261.718837021179,27.1069481413431,0,0,22.30053,21.8071,21.41724,21.338,21.09197,0.1897498,0.04861639,0.05399199,0.07310969,0.2366567
1237651251525256314,261.717698968157,27.1127895493161,-5.990954,10.55361,21.95777,20.43474,19.93272,19.74233,19.87992,0.1476298,0.01879821,0.0179676,0.02084035,0.08553885
1237651251525256311,261.67690843915,27.0954435976627,7.538373,3.456032,22.11099,20.70125,20.01939,19.80458,19.54506,0.1615949,0.02231603,0.0191843,0.02192772,0.06527345
1237651251525256309,261.634374515395,27.0751253572829,-8.5748,-9.445071,21.95637,20.38044,19.59374,19.34528,19.23539,0.1413337,0.01813118,0.01455655,0.01593294,0.05078162
1237651251525256305,261.664822627397,27.0936669392848,-2.354395,1.9052,21.44453,20.50714,20.09371,19.8947,19.94432,0.09487873,0.0196251,0.02009488,0.02322444,0.090149
1237651251525256297,261.579350735567,27.0641046357746,-10.93545,3.81863,22.00088,20.50578,19.79816,19.50355,19.30173,0.1441806,0.0197516,0.0165528,0.01766163,0.05384878
1237651251525256296,261.633964127227,27.0963226743404,-5.259977,-0.55467,21.69086,20.75662,20.21926,20.00114,19.90826,0.1154808,0.02324747,0.02215098,0.025129,0.08895931
1237651251525256295,261.587382280914,27.0762601888263,-10.38982,4.24358,22.44231,21.10033,20.56576,20.31371,20.30067,0.2105938,0.02942371,0.02832511,0.0318455,0.1248334
1237651251525256294,261.585524078923,27.0762745018819,-13.5695,-6.116526,24.08668,21.72268,20.41736,19.68895,19.15967,0.6486409,0.04586956,0.02526217,0.01992714,0.04791531
1237651251525256281,261.699351007784,27.1428081166112,-12.12086,-10.11,21.74216,20.75136,20.4024,20.24504,20.0767,0.1248578,0.02332179,0.02559547,0.03069672,0.1048746
1237651251525256280,261.657818330182,27.1257396990575,-12.83974,4.898407,21.34686,20.4035,20.03286,19.87705,19.78,0.08861929,0.01847948,0.01952594,0.0229991,0.08022481
1237651251525256246,261.665304087791,27.013468957691,17.36002,9.63975,24.60327,21.82329,20.30397,19.0132,18.30004,0.7217299,0.04991458,0.02308903,0.01314888,0.02493949
1237651251525256241,261.649336308857,27.0166171185546,-0.4153924,-2.13045,23.05449,20.61684,19.46237,19.05588,18.87501,0.3320455,0.02109016,0.01330196,0.01336353,0.03772494
1237651251525256238,261.660648065553,27.0443246240355,-2.963066,-14.95369,24.15857,20.98691,19.59923,18.83454,18.34668,0.6649968,0.02714958,0.01457978,0.01178421,0.02593698
1237651251525256232,261.64621413464,27.0659281398084,0.3271883,-17.09288,23.18782,21.36156,19.97882,18.87874,18.27968,0.372053,0.03519278,0.01866429,0.01203082,0.02471388
1237651251525256228,261.683412608226,27.0881660057897,0.9668472,-11.42476,23.31104,21.41175,19.9282,18.76927,18.13991,0.4118207,0.03633881,0.01795226,0.01126795,0.02240992
1237651251525256226,261.66123424978,27.0916541154699,-5.506211,15.59438,23.94118,21.40895,19.94955,18.47064,17.6122,0.615438,0.036204,0.0182484,0.009553193,0.01588547
1237651251525256741,261.69884218337,27.1042182818883,0,0,23.11241,21.89933,21.315,21.06714,21.06291,0.3764431,0.05411271,0.05139497,0.06015578,0.2391353
1237651251525256740,261.63063229498,27.0723635627626,0,0,23.09088,21.70821,21.08452,20.89976,20.90702,0.3494141,0.04546553,0.04170383,0.05066002,0.201563
1237651251525256360,261.663067291126,27.0313992482837,7.801664,-9.924643,21.81931,20.87155,20.49635,20.43194,20.07803,0.1261974,0.02506875,0.0266167,0.0354919,0.1007604
1237651251525256362,261.58056452223,26.9812017584025,0,0,22.22924,21.46495,21.16005,20.9419,21.27046,0.1717181,0.03783233,0.04288799,0.05233135,0.2675061
1237651251525256364,261.713875531467,27.0439565182912,-10.29316,-1.792843,22.20919,20.98266,20.63404,20.48286,20.38059,0.1744712,0.02678667,0.02934398,0.03692314,0.1281764
1237651251525256377,261.676163394647,27.0212917283485,-4.646685,-12.73644,22.49804,21.15344,20.71715,20.30282,20.89643,0.2235046,0.03092902,0.03177313,0.03295119,0.2044713
1237651251525256378,261.674643821326,27.0220067769356,-14.10342,-3.052763,21.89006,20.94424,20.9655,21.06184,21.1336,0.1329452,0.02628619,0.03783633,0.05951606,0.2440048
1237651251525256381,261.689283665798,27.0254743822199,0,0,22.50474,21.81022,21.51012,21.31243,20.76213,0.2199672,0.04900476,0.05804268,0.07266646,0.1766493
