objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237666211937911856,289.575938998297,17.0686485895147,0,0,22.90849,23.28734,20.89342,19.78584,18.81159,0.4144863,0.2368548,0.04736247,0.02911414,0.04274224
1237666211937911854,289.568353836995,17.0644719204657,0,0,24.21254,25.79293,20.9613,19.1408,17.72468,0.9370675,0.5275636,0.05000601,0.01769975,0.01866299
1237666211937911846,289.554580551587,17.0576064463546,0,0,23.66311,23.61767,21.40705,19.96857,19.13894,0.7262759,0.3153588,0.07309514,0.03370506,0.05543783
1237666211937911841,289.527729773546,17.0182263318892,0,0,23.61217,23.87079,21.26174,20.01072,19.21085,0.7094299,0.3706432,0.06489822,0.03492593,0.05792362
1237666211937911834,289.527066953913,17.0469663122204,0,0,24.11722,23.43418,21.09707,19.83048,18.99222,0.9683755,0.2769219,0.05782748,0.03092907,0.05035935
1237666211937911833,289.525900792795,17.0479671615999,0,0,23.18298,23.18196,20.62667,19.17885,18.25744,0.5221252,0.2157917,0.03798554,0.01814361,0.02714383
1237666211937911831,289.558578628519,17.1100471570264,0,0,23.68485,25.81817,21.77799,19.81877,18.62559,0.7559237,0.5428175,0.1041754,0.03080239,0.03808383
1237666211937911830,289.559253798872,17.1115390636094,0,0,25.07905,25.42602,21.54647,19.81611,18.54928,0.9181305,0.6127941,0.08252734,0.03008289,0.03509909
1237666211937911829,289.560013670958,17.1108687290864,0,0,26.32458,23.98575,21.57027,19.62075,18.31184,0.3881617,0.4113851,0.08420058,0.02570539,0.02908335
1237666211937911818,289.508858944749,17.0522722458746,0,0,24.90017,23.71196,20.74214,19.27677,18.16199,0.9789353,0.3323793,0.04184432,0.01958172,0.02535083
1237666211937911815,289.562267888004,17.1548422285426,0,0,25.64098,23.73218,21.0774,19.84794,19.08224,0.7134662,0.3645177,0.05823406,0.03169563,0.05642822
1237666211937911809,289.48317599295,17.0207809796796,0,0,26.58054,23.80837,20.86796,19.20326,17.9735,0.3073008,0.3544264,0.04689655,0.01857428,0.02194059
1237666211937911807,289.547027251484,17.1506495353833,0,0,24.96843,23.35181,21.18965,19.93309,19.13169,0.9635548,0.2527497,0.06070227,0.032547,0.05615944
1237666211937911800,289.460898316807,17.0351247431764,0,0,24.70101,23.41047,21.14565,19.86078,19.05348,1.068036,0.276567,0.06168922,0.03216231,0.05305759
1237666211937911776,289.620256163722,17.1107238742534,0,0,23.37298,22.94563,20.62215,19.56248,18.72485,0.592964,0.1819839,0.0388098,0.02474445,0.04088706
1237666211937911771,289.566839195834,17.0662517595088,0,0,22.86798,22.46905,20.72509,19.20499,18.33846,0.3956014,0.1181192,0.04122354,0.01855702,0.0293153
1237666211937911759,289.551316548242,17.0595026373674,0,0,22.62973,22.50988,20.54045,19.37321,18.57643,0.3603457,0.1341845,0.03818152,0.02244595,0.03788818
1237666211937911756,289.52916414547,17.0462154234589,0,0,23.49463,22.60703,20.36722,19.35878,18.59194,0.6743828,0.1373647,0.03167219,0.02129656,0.03642572
1237666211937911745,289.505423189905,17.0554668595183,0,0,25.0956,22.77694,20.58733,19.43078,18.72295,0.9302327,0.1533114,0.0370356,0.02215312,0.0391978
1237666211937976676,289.643109539363,17.0275860341149,-4.410007,2.063899,23.63162,20.79848,18.9645,17.97746,17.25313,0.6990517,0.03054634,0.01136782,0.008215681,0.01373671
1237666211937911742,289.514603880623,17.0785628090297,0,0,24.9674,22.68333,20.77105,19.69531,18.69191,1.030211,0.1508017,0.04474356,0.02829156,0.04018847
1237666211937911738,289.477338652009,17.0346692451632,0,0,24.65906,23.18473,21.04363,19.87295,19.05577,1.074999,0.2161531,0.05381519,0.03115904,0.05070688
1237666211937911737,289.474128672567,17.0353188155897,0,0,23.85991,22.14373,20.13662,19.00971,18.24957,0.8265876,0.0890919,0.02587079,0.01614042,0.02688333
1237666211937911710,289.451653041694,17.0676680346251,0,0,26.52511,22.82277,20.79742,19.73061,18.96286,0.339616,0.1617588,0.04417079,0.02808356,0.04786688
1237666211937911707,289.486827161084,17.1324861786367,0,0,25.44382,22.83421,20.82231,19.90202,19.31774,0.7776667,0.1622517,0.04436344,0.03211086,0.06542487
1237666211937911675,289.60096462188,17.0499722746611,0,0,24.25074,24.82925,21.53925,19.49099,18.06628,0.9932183,0.6466913,0.08474825,0.02361401,0.02461431
1237666211937911673,289.602965173449,17.0495851831085,-0.6263376,-2.527564,25.84701,21.91299,19.77716,18.5703,17.72198,0.5726296,0.07379882,0.01976937,0.0118776,0.01881663
1237666211937911552,289.611642038083,17.1036385109952,0,0,24.29092,22.41747,20.2277,19.17208,18.40118,0.953135,0.113706,0.02793793,0.01827767,0.03127588
1237666211937911551,289.61376527346,17.1039416854627,4.571774,-2.510631,23.72644,21.02102,19.13763,18.26232,17.58181,0.7305931,0.03622726,0.01268159,0.009804049,0.01713365
1237666211937976645,289.625682409514,17.0594520047862,0,0,25.34331,24.67089,21.41307,19.63485,18.5834,0.7910408,0.5941983,0.07464772,0.02608896,0.03670265
1237666211937911870,289.580757749955,17.0409331819418,0,0,24.46856,23.06001,21.15004,20.02069,19.18323,1.004979,0.1954312,0.0586584,0.03513015,0.05754331
1237666211937911523,289.520392379933,17.0800414237107,0,0,25.67842,24.65068,21.20156,19.48579,18.35547,0.66751,0.5864411,0.06168505,0.02342856,0.03011663
1237666211937911522,289.518473654474,17.0807473817098,-10.80863,4.586008,24.58458,21.45821,19.67066,18.81266,18.24155,1.025741,0.05099566,0.01830139,0.0141181,0.02736635
1237666211937911521,289.519692589557,17.0812053970918,25.63042,-3.117131,23.34783,21.23986,19.55375,18.67261,18.13079,0.6035341,0.04282349,0.01682484,0.01286963,0.02510866
1237666211937911520,289.518975986515,17.0793549128631,-3.669522,1.584154,23.77435,22.9298,19.83047,18.29534,17.17751,0.7706338,0.176099,0.02064184,0.01006274,0.01298509
1237666211937911502,289.46798466965,17.0627535545997,-0.1504853,5.102264,25.26439,20.61701,18.98542,18.12371,17.51082,0.8654982,0.02681162,0.01154716,0.00903252,0.01610643
1237666211937911495,289.483603824226,17.1280361946691,-0.827505,-5.04106,23.42993,21.64692,19.13887,17.75022,16.70382,0.64162,0.06043366,0.01270116,0.007293258,0.009785582
1237666211937911492,289.490151773094,17.1598204978846,0,0,25.07322,23.54004,21.37376,20.02324,19.40539,0.9337234,0.2966893,0.07245007,0.036033,0.07543613
1237666211937911490,289.488531148529,17.1598487769451,-3.101677,-3.847531,23.70423,21.14731,18.44612,17.08508,16.07136,0.7480022,0.0399561,0.008326184,0.005266242,0.006965816
1237666211937911410,289.622301473149,17.1069664997636,0,0,24.55571,24.66599,21.06618,19.698,18.34887,0.9999428,0.5948459,0.05589159,0.02747996,0.03040677
1237666211937911408,289.631947034079,17.1028888727941,0,0,24.22825,22.55834,20.36718,19.10022,18.20595,0.9372014,0.1287526,0.03134035,0.01726722,0.02698344
1237666211937911406,289.62203310123,17.1046970027153,0,0,24.58497,21.81128,19.90966,19.01469,18.3266,0.992671,0.06874301,0.02204775,0.01630028,0.02977373
1237666211937911401,289.63205741776,17.1071395967733,-10.29379,3.13379,23.16824,21.45948,20.08079,24.36506,18.16274,0.5056245,0.05114564,0.02514627,0.9766318,0.02670327
1237666211937911397,289.627009278749,17.0983761014851,3.00684,-8.86548,23.57098,21.30725,19.84318,24.3624,18.7395,0.6690898,0.04530767,0.02098838,0.9991433,0.04117104
1237666211937911395,289.629000327212,17.104924721083,0,0,23.95664,25.11483,20.44346,18.67903,17.96844,0.8613385,0.6802297,0.03519252,0.01404724,0.02456645
1237666211937911392,289.625456609767,17.1083393943294,0,0,24.41344,22.58759,19.44438,18.28194,16.88256,0.9791101,0.1321617,0.01607172,0.01062384,0.01139344
1237666211937911391,289.626642645425,17.10430713946,0,0,23.06749,20.37205,18.64234,17.69822,17.22268,0.4795714,0.02270933,0.009515721,0.007158632,0.01408848
1237666211937911389,289.626005947095,17.101489884329,0,0,24.34562,21.7553,18.93583,17.50862,16.38513,0.9653233,0.06546355,0.01175355,0.00674104,0.009067842
1237666211937911387,289.625559271129,17.0949775438504,-10.14025,4.391959,23.35836,19.94832,18.24298,17.38803,16.73593,0.5825996,0.01674846,0.00748008,0.006070284,0.0100204
1237666211937911386,289.62846107141,17.1042774725353,-7.744725,-5.374402,21.23751,18.79645,17.32191,16.49295,16.02957,0.1044308,0.008444184,0.004956455,0.00428307,0.006989088
1237666211937911384,289.625776642186,17.1026962072887,13.72204,3.865206,20.84894,17.91775,16.25083,15.45891,14.97648,0.0776263,0.005636191,0.003592405,0.003313644,0.00459042
1237666211937911366,289.576514496727,17.0380997430179,0,0,24.25849,24.83653,21.57785,19.64368,18.15566,0.9775599,0.6164116,0.08513109,0.02618843,0.02572394
1237666211937911365,289.580001844326,17.034936883232,0,0,23.486,22.72896,20.61905,19.45025,18.56259,0.653001,0.1474776,0.03785749,0.02232877,0.03486205
1237666211937911364,289.58424456678,17.0373540784507,0,0,24.0567,22.40036,20.35111,19.30113,18.54118,0.8896216,0.1108598,0.03053965,0.02010998,0.03459189
1237666211937911363,289.577276285832,17.0390067951422,1.321043,-8.073027,24.06738,21.83601,19.79686,18.68818,17.91625,0.9093198,0.06943837,0.02004871,0.01288758,0.02148181
1237666211937911362,289.577490848797,17.0449244362398,0,0,25.17633,21.43378,19.4091,18.34591,17.59842,0.9871733,0.05368206,0.01595337,0.01062709,0.01793402
1237666211937911361,289.583040797278,17.0364848631624,0,0,25.20605,23.89249,20.38183,18.47887,17.07893,0.9292943,0.4008489,0.03258332,0.01150431,0.01252451
1237666211937911360,289.575630055871,17.0388661781602,0,0,23.30346,20.65337,18.75695,17.73288,16.99622,0.5772691,0.02735978,0.00999387,0.007221219,0.01164897
1237666211937911352,289.582892275487,17.114501371449,0,0,24.68684,22.94008,20.58558,19.53488,18.77507,1.093149,0.2019203,0.04278443,0.02757439,0.04616819
1237666211937911351,289.583392312759,17.1154867706799,-3.283141,1.188054,20.53903,18.01917,16.63573,15.92335,15.32612,0.06198339,0.005864561,0.003969506,0.003653461,0.005064377
1237666211937911334,289.504329728872,17.0191782407954,0,0,24.09583,22.47284,20.76166,19.87092,19.22652,0.9111919,0.1176967,0.04279159,0.03135452,0.05905437
1237666211937911333,289.502300700517,17.0118744272431,0,0,25.37791,24.31017,21.04963,19.57005,18.69406,0.8285724,0.5194694,0.05678514,0.02544829,0.03958577
1237666211937911332,289.500144338932,17.0138588863699,0,0,23.70415,22.70264,20.58591,19.61672,18.9535,0.7498158,0.143253,0.03740146,0.02594031,0.04726314
1237666211937911331,289.502084521491,17.0191181979013,0,0,25.30262,24.74663,21.16738,19.44463,18.22806,0.8237668,0.6004882,0.06040004,0.0225107,0.0265747
1237666211937911330,289.504246146739,17.0125999504401,0,0,23.42889,21.18786,19.38595,18.47371,17.84882,0.6280931,0.04098168,0.01512283,0.01127859,0.0201356
1237666211937911329,289.506608017027,17.0120001140573,-0.6419284,3.323665,24.05692,21.03943,19.2465,18.31779,17.73175,0.8913904,0.0364168,0.0138059,0.01025231,0.01863753
1237666211937911328,289.506186072311,17.0138892369646,13.92554,-9.837759,23.67923,21.33165,19.19859,18.16796,17.47604,0.7623129,0.04804076,0.01369261,0.009546313,0.01632093
1237666211937911327,289.500045024845,17.0158573492806,0,0,24.51767,21.48511,19.24616,18.05375,17.28514,1.046124,0.05183141,0.01378895,0.008661972,0.01374689
1237666211937911326,289.505243018199,17.0135044946955,-16.54909,17.38512,23.83377,23.0831,19.67869,17.92753,16.65165,0.9273729,0.2308806,0.02063304,0.008605233,0.01003512
1237666211937911325,289.502793789661,17.0175574911337,7.849514,2.767134,21.92742,19.66162,18.07744,17.25476,16.6836,0.1827957,0.01382131,0.006930371,0.005773714,0.009592245
1237666211937911238,289.454152010426,17.0969708974637,0,0,23.92798,22.66564,20.66498,19.58742,18.82919,0.8694646,0.1407448,0.03987344,0.02550338,0.04385164
1237666211937911237,289.450245245908,17.0912250252476,0,0,24.46018,22.71899,20.5737,19.3796,18.84465,1.086247,0.1552276,0.03804774,0.02201015,0.0465049
1237666211937911235,289.452606897162,17.0901164584643,0,0,24.13947,22.01423,20.12106,19.10367,18.48815,0.9660511,0.0805747,0.02551274,0.01729865,0.03285014
1237666211937911234,289.456780618342,17.0971184873627,0,0,24.15068,22.00404,19.95228,18.90627,18.23737,1.052382,0.0873951,0.02410015,0.01617694,0.02932514
