objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237659119337537852,250.468495888653,30.2385710655342,-8.499347,-2.423198,18.51657,16.70471,16.03954,15.81786,15.72528,0.01857903,0.003704096,0.003460108,0.003662829,0.006387834
1237659119337537878,250.516208531441,30.2431707656346,-21.88941,-18.92958,16.01587,14.54813,14.02318,13.84736,13.79346,0.005324355,0.002591013,0.002791573,0.003004114,0.003516143
1237659119337537887,250.525753237747,30.2305584803014,-6.329792,11.6027,17.94403,16.57018,16.05958,15.88698,15.83345,0.01333083,0.003561265,0.003483669,0.003731715,0.006735421
1237659119337537888,250.525455862914,30.227195979385,-20.55427,6.496497,25.34726,20.66074,19.2646,18.67272,18.3407,1.084887,0.03387584,0.01568725,0.01322058,0.03557933
1237659119337537890,250.524881617208,30.2338067510354,0,0,22.5806,22.09731,20.72146,20.21864,20.21884,0.4142587,0.112807,0.0494828,0.04397265,0.1787059
1237659119337538029,250.47865196239,30.2357874053083,1.720836,-2.958307,21.58331,19.39566,18.27452,17.8253,17.62073,0.1751925,0.01354381,0.008281666,0.007780052,0.02021069
1237659119337538055,250.518363424909,30.2340905550979,-13.08822,-6.552636,21.15639,18.67543,17.28159,16.3657,15.87439,0.12194,0.008689206,0.00505715,0.004208491,0.006884975
1237659119337538121,250.486599595229,30.243931634958,-7.237867,-4.546274,22.49323,20.83648,19.33814,17.99767,17.28699,0.3768894,0.03888094,0.01650386,0.008585166,0.01588405
1237659119337538394,250.485020884246,30.2398668668978,0,0,24.15308,22.0899,20.60938,19.93675,19.63064,1.231716,0.1113159,0.04475857,0.03451898,0.1041927
1237659119337538412,250.488674839467,30.2323180528735,0,0,22.12139,20.05869,19.41765,19.27067,19.2469,0.2774566,0.02155239,0.01766001,0.02048321,0.07527931
1237659119337538413,250.488641449605,30.2333514148117,48.33452,13.47906,22.63532,20.88916,19.6038,19.10522,18.82287,0.4876175,0.04517669,0.02229585,0.02007835,0.06033293
1237659119337538414,250.483355472108,30.2294115452251,0,0,25.83739,22.43234,21.02886,19.5639,18.8911,0.7881106,0.1506831,0.06404539,0.02562294,0.05569382
1237659119337538472,250.533142072701,30.234917223484,0,0,26.00849,22.1013,20.86211,20.47205,20.01957,0.7051645,0.1137671,0.05653485,0.05566784,0.1530634
1237659119337538474,250.50667344389,30.2129878558483,0,0,25.33585,22.00072,20.88325,20.43167,19.9275,1.11809,0.1053877,0.05810229,0.05415696,0.1424682
1237659119337603085,250.572925528712,30.2406455477811,3.630067,-8.583808,17.58369,16.33917,15.8852,15.72295,15.65877,0.01098805,0.003363009,0.003334609,0.003592402,0.00623754
1237659119337603093,250.569441461202,30.2336996467822,-0.2882474,1.540366,18.40355,17.11499,16.6663,16.50834,16.44267,0.01724088,0.004223168,0.004028699,0.004384413,0.009500218
1237659119337603094,250.57166363309,30.2373717373556,2.630135,-20.28405,23.97674,20.83027,20.1158,19.77904,19.57411,1.168792,0.03855605,0.03012214,0.03084531,0.1051564
1237659119337603100,250.556719154672,30.2226196838918,-21.33105,20.20976,18.73108,17.691,17.29433,17.13782,17.08117,0.0212546,0.005285471,0.005081316,0.005561845,0.01422681
1237659119337603101,250.558621314576,30.2231897946757,9.814051,-25.40532,22.8592,19.35313,17.99814,17.40451,17.07342,0.5233632,0.01311297,0.007100976,0.006293572,0.01409469
1237659119337603109,250.546752594025,30.2036240450411,20.29595,19.06955,18.50999,15.84953,14.54842,13.99967,13.71742,0.01837615,0.003053157,0.002827587,0.002987151,0.003415622
1237659119337603142,250.559215920508,30.182032898489,-3.822292,-1.20858,17.32916,16.07702,15.63983,15.48035,15.43529,0.009625137,0.003177048,0.00316176,0.00340031,0.005601752
1237659119337603152,250.614048165906,30.2012841728945,-3.238132,-3.659113,18.58528,17.10539,16.58202,16.41602,16.32825,0.01938176,0.004223001,0.003943715,0.0042541,0.008913764
1237659119337603154,250.58167513031,30.1715647791671,4.804039,0.3354443,17.81246,16.53246,16.10221,15.95675,15.92542,0.01235035,0.00353188,0.003486661,0.003758847,0.007087532
1237659119337603162,250.607108963911,30.165089650137,-1.152663,2.920608,18.43007,16.90614,16.17223,15.93598,15.83326,0.01760495,0.003965579,0.003539528,0.003699592,0.006754838
1237659119337603170,250.61683994579,30.1465095424519,-0.8694111,-6.498471,16.14073,14.58079,14.08036,13.93964,13.90039,0.005593202,0.002677152,0.002747194,0.002887612,0.003411804
1237659119337603173,250.638697102313,30.1593467500248,-10.58204,0.3780284,18.66283,17.56403,17.18637,17.05885,17.03102,0.02020348,0.005019133,0.004849964,0.005315093,0.01394112
1237659119337603270,250.514454123639,30.2149299843324,-2.049146,4.59316,19.22617,17.84539,17.32019,17.14221,17.07143,0.02889539,0.005648549,0.005143535,0.005567497,0.01392495
1237659119337603277,250.547513503723,30.2369943890268,-9.984314,-2.322881,19.72626,18.72325,18.38835,18.26939,18.27644,0.04120539,0.008882582,0.00884279,0.01017587,0.03437589
1237659119337603282,250.536722270981,30.22605457577,-5.953585,0.5673716,21.05941,19.55425,18.82339,18.59034,18.46695,0.1119709,0.01484765,0.0116138,0.01251708,0.03990608
1237659119337603300,250.527021052642,30.196546579187,2.49121,-2.750066,19.45176,17.8765,17.27121,17.03624,16.96815,0.03376856,0.005746946,0.005027149,0.005338976,0.0131483
1237659119337603309,250.536077258879,30.1816298017984,-15.61137,-3.925023,20.27696,18.50975,17.79817,17.52282,17.38177,0.06137104,0.00787767,0.006398221,0.006659069,0.01754294
