objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237667321649233923,192.169670979471,26.1303825813167,-0.6110381,-0.9064863,15.87149,14.7107,14.34845,14.24325,14.20992,0.004712449,0.00310248,0.003687165,0.003721643,0.00385843
1237667321649233927,192.195074463767,26.2249521831454,6.512205,-15.88041,16.76451,15.51315,15.07748,14.91764,14.84993,0.006566118,0.003281478,0.003919711,0.003819018,0.004411185
1237667321649233928,192.192880366523,26.2229151320867,1.522544,-8.440935,23.34771,21.66759,20.39147,19.18502,18.58583,0.432441,0.05801344,0.02624416,0.01583726,0.03166478
1237667321649233934,192.236843518411,26.2559044840336,18.78628,-26.6444,17.94708,17.08801,16.8029,16.6765,16.62007,0.01123444,0.004358881,0.004683854,0.004823069,0.008749725
1237667321649233955,192.156418273026,26.2630311098611,21.9125,-16.05966,22.23216,19.58425,18.24936,17.12348,16.53762,0.1836076,0.01320207,0.007425797,0.005664836,0.008372826
1237667321649233958,192.148648792236,26.1275102307231,-6.306115,-5.326044,20.02689,18.44923,17.90758,17.72365,17.63153,0.03580188,0.007209498,0.00643552,0.006966721,0.01602702
1237667321649233964,192.164414299488,26.1795391870583,2.933769,-10.56714,20.27188,18.89654,18.41653,18.24035,18.19515,0.04231431,0.008938818,0.007980998,0.008947313,0.02361676
1237667321649233967,192.175781563552,26.1673536229876,-5.436783,-7.245826,22.00254,19.39486,17.97145,17.04837,16.52492,0.1500863,0.01178573,0.006607938,0.005431278,0.008340947
1237667321649168980,192.08892512857,26.1104713045146,0,0,23.5233,21.95202,21.47803,21.28781,21.30351,0.5076258,0.07673975,0.06393763,0.08349595,0.3101066
1237667321649168952,192.082663889176,26.2239831529514,0,0,22.70148,21.34227,21.18335,20.88711,21.12197,0.2735187,0.04588623,0.0481301,0.05706739,0.2538978
1237667321649168947,192.072518135265,26.143891486846,0,0,22.68451,21.84319,21.4688,21.47159,21.04891,0.270984,0.07049868,0.0636096,0.09824517,0.252555
1237667321649168942,192.067071041853,26.0959968062257,0,0,24.0007,22.22295,20.68772,19.43089,18.77931,0.6743727,0.09504746,0.03399458,0.01897381,0.03728961
1237667321649168934,192.065661168402,26.1636427453992,0,0,24.70444,22.31768,20.85253,19.12617,18.16264,0.7612094,0.101476,0.03701185,0.01492192,0.02258711
1237667321649168899,192.055516677486,26.2249753249302,0,0,22.65561,21.91978,21.32064,21.45376,21.11237,0.2788948,0.07785248,0.05801698,0.1009551,0.2694502
1237667321649168885,192.047916719176,26.2313155124863,0,0,24.5605,21.7821,20.67393,20.27821,19.7511,0.781037,0.06648884,0.03239905,0.03464396,0.07952604
1237667321649168863,192.029828085664,26.1405846019445,0,0,25.02857,22.62823,21.01202,19.27813,18.35043,0.7107998,0.1321935,0.04250536,0.01653644,0.02618928
